TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-01-2019,22.2,30,25.4,88,16.1,2.1,4,250,3,W 
02-01-2019,22.4,32.6,27.3,81,1,0.1,5,280,3,W 
03-01-2019,22.4,33.2,27.4,76,4.5,4.9,6,260,4,W 
04-01-2019,22.6,34.2,28.7,73,-,8.4,6,280,3,SW
05-01-2019,23.4,33.4,28,76,-,9.7,3,90,2,SW
06-01-2019,23.3,33.5,28.3,79,46,5.9,3,230,1,C 
07-01-2019,22.8,33.4,29.1,78,-,10.2,4,90,2,S 
08-01-2019,23.8,32.9,27.9,84,-,7.9,3,240,1,C 
09-01-2019,23.3,32,28,84,3.5,6,4,40,1,C 
10-01-2019,23.6,31,27.2,86,16.6,5.3,3,250,2,W 
11-01-2019,24.8,32.4,28.2,81,1.1,-,4,280,2,W 
12-01-2019,24.8,33.2,29,80,-,6.1,4,320,2,NW
13-01-2019,24.8,33,27.8,86,0.5,7.5,3,340,1,C 
14-01-2019,23.4,29.4,26.5,88,30.2,2.9,3,140,2,W 
15-01-2019,24.2,31.6,27.7,84,8888,1,5,250,2,W 
16-01-2019,24.2,28.6,26.7,89,-,2.7,4,270,1,C 
17-01-2019,23.8,30.4,26.9,86,7.1,0,5,270,3,SW
18-01-2019,24.4,30.4,27.5,86,2,5.4,4,200,2,W 
19-01-2019,24,28.8,26.7,86,0.8,0,3,280,1,W 
20-01-2019,23.4,31.8,27.9,82,2.6,0.4,3,330,1,C 
21-01-2019,24.4,28.8,26.1,92,-,3.2,5,190,1,C 
22-01-2019,-,27.2,24.8,94,45.3,0,3,270,1,C 
23-01-2019,-,29.7,26.6,90,24,0,3,250,2,W 
24-01-2019,22.5,31.6,27.6,83,8888,1.9,6,290,2,W 
25-01-2019,-,29.4,25.9,90,26.4,7.1,4,270,1,W 
26-01-2019,22.4,30.9,27.6,87,19.2,1.3,4,260,2,W 
27-01-2019,23.5,28.6,26.9,90,7.5,6.9,4,290,2,W 
28-01-2019,-,30,27.3,88,2.9,0,4,310,2,NW
29-01-2019,24.6,31,27.8,85,0.2,0.1,5,290,2,W 
30-01-2019,23.4,31.4,27.2,85,24.5,6.4,4,270,2,W 
31-01-2019,23.6,30.8,26.7,86,-,4.8,5,250,2,W 
01-02-2019,23.4,31.6,25.8,90,8888,3.1,4,240,1,C 
02-02-2019,23,31.2,27.3,87,32.4,4.6,4,320,1,C 
03-02-2019,23.4,33.2,28.2,84,-,5.6,4,300,2,W 
04-02-2019,24.8,32.4,27.3,85,1.3,7,4,270,2,W 
05-02-2019,23.8,31.8,27,88,15,6.6,4,250,2,W 
06-02-2019,24.2,32.2,28.3,86,6.4,3.7,5,240,2,NW
07-02-2019,24.4,33.6,28.6,81,-,7.9,4,290,2,W 
08-02-2019,25,31.6,28,83,-,7,4,320,2,C 
09-02-2019,23.8,31.6,27.3,86,8888,-,3,300,1,C 
10-02-2019,24.2,32.6,28.3,82,8888,4.4,5,250,2,W 
11-02-2019,23.6,33.2,27.6,84,3,6.4,4,190,2,W 
12-02-2019,24.2,32,27.4,85,2.5,5.1,4,350,1,C 
13-02-2019,24.6,30.8,28.1,83,8888,6.3,3,270,1,NW
14-02-2019,24.2,32,28.3,80,0,0.9,4,260,2,W 
15-02-2019,24.8,31,28.1,82,-,6.3,3,310,2,NW
16-02-2019,24.2,31.8,27.8,84,8888,1.4,3,320,1,C 
17-02-2019,23.8,31.6,27.5,84,77.4,1.3,4,270,2,W 
18-02-2019,23,31.6,28.3,80,-,6.6,3,300,1,C 
19-02-2019,24.8,32.8,28,81,8888,3.2,3,100,1,C 
20-02-2019,25,31.4,27.7,84,0,3.4,3,80,1,C 
21-02-2019,25,29.4,27.3,87,1.3,1.4,3,40,1,C 
22-02-2019,23.8,31.2,27,89,5.7,2.8,4,260,2,C 
23-02-2019,23,33,26.7,86,3.8,4.8,4,290,2,W 
24-02-2019,24.2,32.4,27.8,85,8.2,6.7,5,20,1,C 
25-02-2019,24.4,33.2,28.4,83,-,6.3,4,160,2,W 
26-02-2019,24.4,33.6,28.7,80,1.8,4.6,4,100,2,E 
27-02-2019,24.8,33,29.5,79,8888,6.8,4,50,2,E 
28-02-2019,26.4,33.2,29.3,81,-,7.3,4,210,1,C 
01-03-2019,25.2,30.4,27.4,87,-,5.6,3,140,1,C 
02-03-2019,24.2,31.8,27.7,86,4.1,2.9,3,270,1,C 
03-03-2019,23.8,29.8,26.6,90,22.2,2.9,5,240,1,W 
04-03-2019,23,33.8,28,82,5,1.3,4,30,1,C 
05-03-2019,23.2,31.2,26.9,87,27.5,8,3,320,1,C 
06-03-2019,23.4,30,25.1,91,15.5,3.9,3,270,1,C 
07-03-2019,22.8,30.3,26.8,84,3.1,0,3,250,1,C 
08-03-2019,21.6,34.5,28.4,77,-,0.9,3,170,1,SE
09-03-2019,23.4,33.2,27.5,81,-,7.3,6,240,2,C 
10-03-2019,23.4,33,28.1,78,-,3.4,5,270,2,W 
11-03-2019,24.2,30.4,26.9,85,-,2.5,3,290,2,W 
12-03-2019,24,31.2,27.6,82,8888,3.7,3,280,2,W 
13-03-2019,24.5,31.6,27.6,83,6.2,2.7,3,280,1,C 
14-03-2019,22.4,31.2,27.2,83,7.5,2,3,270,1,W 
15-03-2019,24,34.4,28.5,82,-,4,5,290,1,C 
16-03-2019,24.2,31.4,27.6,81,0.8,7.1,5,250,3,W 
17-03-2019,-,31.7,27.5,81,-,3.3,4,260,1,C 
18-03-2019,23.6,32,27.4,84,-,1.3,4,250,2,W 
19-03-2019,24.2,29.6,26.5,86,1.6,3.9,7,260,4,W 
