BULAN,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,TAHUN
1,24.033333333333335,30.98095238095238,26.526666666666664,85.26666666666667,16.09,4.058620689655172,4.466666666666667,266.3333333333333,2.1333333333333333,2015
2,23.884615384615383,31.710526315789473,26.900000000000002,86.6842105263158,15.06,3.596296296296296,3.6666666666666665,245.55555555555554,1.5555555555555556,2015
3,24.0,32.0,26.9,88.0,44.2,2.5,5.0,290.0,3.0,2015
4,24.620689655172413,33.16538461538461,27.544444444444448,85.33333333333333,8.554545454545455,4.193333333333333,3.6666666666666665,211.0,1.8666666666666667,2015
5,24.607142857142858,33.824137931034485,28.289285714285715,79.07142857142857,10.816666666666668,6.36,3.2666666666666666,119.0,1.6333333333333333,2015
6,24.51851851851852,34.061904761904756,28.047619047619047,76.52380952380952,11.875,5.0,3.2142857142857144,127.5,1.5,2015
7,24.428571428571427,34.55925925925926,28.29615384615385,71.07692307692308,,7.591666666666666,3.6206896551724137,116.55172413793103,1.9655172413793103,2015
8,24.379310344827587,34.778260869565216,28.330434782608698,70.26086956521739,3.85,8.284615384615385,3.4482758620689653,108.62068965517241,1.9655172413793103,2015
9,24.51851851851852,35.33571428571428,28.607142857142858,66.46428571428571,1.0,7.8,4.0,101.78571428571429,2.0714285714285716,2015
10,25.233333333333334,35.44285714285714,29.57,67.0,10.0,8.23793103448276,3.8333333333333335,98.33333333333333,2.0,2015
11,25.633333333333333,34.917857142857144,28.817241379310346,76.75862068965517,8.990909090909092,5.680000000000001,3.433333333333333,122.33333333333333,1.8,2015
12,24.870967741935484,33.333333333333336,27.90967741935484,81.48387096774194,4.2823529411764705,4.174193548387097,3.7419354838709675,218.06451612903226,1.967741935483871,2015
