TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-01-2016,26,34.8,28.6,81,-,5.8,5,280,2,S 
02-01-2016,25.6,33.2,27,88,1.6,8.7,4,290,2,W 
03-01-2016,24.4,34.9,28.1,80,33.8,5.4,4,280,2,SW
04-01-2016,24.8,33.6,29.2,81,-,6.6,3,200,1,S 
05-01-2016,25.8,33.6,26.7,91,-,3.2,3,180,1,S 
06-01-2016,25,33.6,28.9,80,3.8,3.6,4,190,2,E 
07-01-2016,25.2,35.6,30,78,-,7.6,4,60,2,E 
08-01-2016,26.8,-,29.9,79,-,7.9,4,50,2,SE
09-01-2016,26.8,34.8,29.7,79,-,10.2,4,110,2,E 
10-01-2016,25.4,34.6,29.2,80,-,8.2,3,80,2,S 
11-01-2016,25.6,34,28.2,83,-,4.9,3,280,1,S 
12-01-2016,-,-,-,93,11.5,5.7,3,50,1,S 
13-01-2016,24.8,33.3,26.3,92,36.3,0.9,3,270,1,E 
14-01-2016,25,33.8,28.5,84,4.4,3.7,3,40,2,E 
15-01-2016,26,33.8,29,84,-,4.8,3,70,1,SE
16-01-2016,25.4,33.6,28.6,82,0.6,3.9,2,60,1,NE
17-01-2016,25.8,35.2,28.1,86,-,3.1,4,160,2,S 
18-01-2016,25.4,34,28.5,81,4.5,6.8,4,280,2,W 
19-01-2016,25.6,33.8,27.4,89,3.4,3.1,4,250,2,W 
20-01-2016,25.6,33.4,27.8,87,0.9,4.6,4,260,2,W 
21-01-2016,25.8,31.4,27.7,86,0.3,1.6,2,260,1,SW
22-01-2016,26.4,32,28.7,84,0.1,0.8,4,300,2,W 
23-01-2016,23.8,30.6,26.2,88,13.9,0.7,4,130,2,SE
24-01-2016,25,32.6,27.2,91,7.5,0.2,3,180,1,C 
25-01-2016,23,31,25.5,96,56,1,2,120,1,C 
26-01-2016,23,33,28.1,85,2,0,3,290,1,W 
27-01-2016,25.6,34.6,29.2,83,-,4,4,240,2,W 
28-01-2016,26,33,29,83,-,7.4,4,130,2,SE
29-01-2016,25.2,35,29.1,80,-,3.1,4,170,2,SW
30-01-2016,-,32.6,28,86,2,8.4,4,290,2,W 
31-01-2016,25.2,33,27.9,82,0.4,1.7,3,260,2,W 
01-02-2016,24.2,32,27.2,89,-,4.1,5,280,2,W 
02-02-2016,25,31.6,27.5,89,26.5,2.3,5,280,3,W 
03-02-2016,24.4,-,27.8,82,4,2,3,250,2,W 
04-02-2016,25.4,31.7,26.9,90,-,2.1,2,210,1,SW
05-02-2016,25.6,34.6,28.4,84,7.7,0.6,5,260,2,W 
06-02-2016,25.4,35.2,28.7,85,8888,1.5,5,240,2,W 
07-02-2016,26.8,33.2,27.9,86,0.5,7.8,4,250,2,W 
08-02-2016,25.6,31.9,26.7,92,27.5,4.2,4,280,2,W 
09-02-2016,24.4,33,27.1,88,23.7,3.8,4,260,2,W 
10-02-2016,24.8,29.6,26.4,90,10,4.6,4,280,2,W 
11-02-2016,25.4,25.4,27.3,89,-,0.2,3,270,2,SW
12-02-2016,24.6,30.8,27,88,9.7,0.7,4,250,1,C 
13-02-2016,24.4,33.6,28.2,84,23,1.6,3,290,1,E 
14-02-2016,25,34.2,27.2,89,0.5,1.6,4,270,1,E 
15-02-2016,24.4,34.6,28.1,85,10,5.5,5,260,2,W 
16-02-2016,25,31.6,27.5,86,-,7.1,4,200,2,C 
17-02-2016,24.6,30.4,26.6,89,8.5,1,3,270,1,S 
18-02-2016,24.8,33,27.4,86,2,0.5,4,280,2,SW
19-02-2016,25.4,32.4,28.3,82,0.4,8,4,100,2,W 
20-02-2016,25.4,31.4,28,85,-,4.1,4,270,2,W 
21-02-2016,25.8,-,-,-,-,-,4,250,3,W 
22-02-2016,26,32.2,28.4,85,1,3.1,4,280,2,W 
23-02-2016,26.4,33.8,28.3,83,-,2.1,3,270,2,SW
24-02-2016,25.8,30.8,26.9,92,-,-,4,250,1,C 
25-02-2016,24.4,-,-,-,23,0.8,2,190,0,C 
26-02-2016,24.2,32.2,27.1,85,34,2.3,4,270,1,W 
27-02-2016,25.2,35,28.4,78,0.8,2.5,3,180,2,W 
28-02-2016,24,31,-,-,67,7.5,2,200,1,S 
29-02-2016,25,30.4,26.2,91,8,0,4,280,2,SW
01-03-2016,24,32,26.9,88,44.2,2.5,5,290,3,W 
02-03-2016,-,-,-,-,-,-,-,-,-,-
03-03-2016,-,-,-,-,-,-,-,-,-,-
04-03-2016,-,-,-,-,-,-,-,-,-,-
05-03-2016,-,-,-,-,-,-,-,-,-,-
06-03-2016,-,-,-,-,-,-,-,-,-,-
07-03-2016,-,-,-,-,-,-,-,-,-,-
08-03-2016,-,-,-,-,-,-,-,-,-,-
09-03-2016,-,-,-,-,-,-,-,-,-,-
10-03-2016,-,-,-,-,-,-,-,-,-,-
11-03-2016,-,-,-,-,-,-,-,-,-,-
12-03-2016,-,-,-,-,-,-,-,-,-,-
13-03-2016,-,-,-,-,-,-,-,-,-,-
14-03-2016,-,-,-,-,-,-,-,-,-,-
15-03-2016,-,-,-,-,-,-,-,-,-,-
16-03-2016,-,-,-,-,-,-,-,-,-,-
17-03-2016,-,-,-,-,-,-,-,-,-,-
18-03-2016,-,-,-,-,-,-,-,-,-,-
19-03-2016,-,-,-,-,-,-,-,-,-,-
20-03-2016,-,-,-,-,-,-,-,-,-,-
21-03-2016,-,-,-,-,-,-,-,-,-,-
22-03-2016,-,-,-,-,-,-,-,-,-,-
23-03-2016,-,-,-,-,-,-,-,-,-,-
24-03-2016,-,-,-,-,-,-,-,-,-,-
25-03-2016,-,-,-,-,-,-,-,-,-,-
26-03-2016,-,-,-,-,-,-,-,-,-,-
27-03-2016,-,-,-,-,-,-,-,-,-,-
28-03-2016,-,-,-,-,-,-,-,-,-,-
29-03-2016,-,-,-,-,-,-,-,-,-,-
30-03-2016,-,-,-,-,-,-,-,-,-,-
31-03-2016,-,-,-,-,-,-,-,-,-,-
01-04-2016,25.4,34,28.2,84,0.2,5.5,3,260,2,S 
02-04-2016,-,-,-,-,-,-,-,-,-,-
03-04-2016,-,-,-,-,-,-,-,-,-,-
04-04-2016,-,-,-,-,-,-,-,-,-,-
05-04-2016,-,-,-,-,-,-,-,-,-,-
06-04-2016,-,-,-,-,-,-,-,-,-,-
07-04-2016,-,-,-,-,-,-,-,-,-,-
08-04-2016,-,-,-,-,-,-,-,-,-,-
09-04-2016,-,-,-,-,-,-,-,-,-,-
10-04-2016,-,-,-,-,-,-,-,-,-,-
11-04-2016,-,-,-,-,-,-,-,-,-,-
12-04-2016,-,-,-,-,-,-,-,-,-,-
13-04-2016,-,-,-,-,-,-,-,-,-,-
14-04-2016,-,-,-,-,-,-,-,-,-,-
15-04-2016,-,-,-,-,-,-,-,-,-,-
16-04-2016,-,-,-,-,-,-,-,-,-,-
17-04-2016,-,-,-,-,-,-,-,-,-,-
18-04-2016,-,-,-,-,-,-,-,-,-,-
19-04-2016,-,-,-,-,-,-,-,-,-,-
20-04-2016,-,-,-,-,-,-,-,-,-,-
21-04-2016,-,-,-,-,-,-,-,-,-,-
22-04-2016,-,-,-,-,-,-,-,-,-,-
23-04-2016,-,-,-,-,-,-,-,-,-,-
24-04-2016,-,-,-,-,-,-,-,-,-,-
25-04-2016,-,-,-,-,-,-,-,-,-,-
26-04-2016,-,-,-,-,-,-,-,-,-,-
27-04-2016,-,-,-,-,-,-,-,-,-,-
28-04-2016,-,-,-,-,-,-,-,-,-,-
29-04-2016,-,-,-,-,-,-,-,-,-,-
30-04-2016,-,-,-,-,-,-,-,-,-,-
01-05-2016,24.8,32.4,28.1,84,23,1.8,4,60,3,NE
02-05-2016,-,-,-,-,-,-,-,-,-,-
03-05-2016,-,-,-,-,-,-,-,-,-,-
04-05-2016,-,-,-,-,-,-,-,-,-,-
05-05-2016,-,-,-,-,-,-,-,-,-,-
06-05-2016,-,-,-,-,-,-,-,-,-,-
07-05-2016,-,-,-,-,-,-,-,-,-,-
08-05-2016,-,-,-,-,-,-,-,-,-,-
09-05-2016,-,-,-,-,-,-,-,-,-,-
10-05-2016,-,-,-,-,-,-,-,-,-,-
11-05-2016,-,-,-,-,-,-,-,-,-,-
12-05-2016,-,-,-,-,-,-,-,-,-,-
13-05-2016,-,-,-,-,-,-,-,-,-,-
14-05-2016,-,-,-,-,-,-,-,-,-,-
15-05-2016,-,-,-,-,-,-,-,-,-,-
16-05-2016,-,-,-,-,-,-,-,-,-,-
17-05-2016,-,-,-,-,-,-,-,-,-,-
18-05-2016,-,-,-,-,-,-,-,-,-,-
19-05-2016,-,-,-,-,-,-,-,-,-,-
20-05-2016,-,-,-,-,-,-,-,-,-,-
21-05-2016,-,-,-,-,-,-,-,-,-,-
22-05-2016,-,-,-,-,-,-,-,-,-,-
23-05-2016,-,-,-,-,-,-,-,-,-,-
24-05-2016,-,-,-,-,-,-,-,-,-,-
25-05-2016,-,-,-,-,-,-,-,-,-,-
26-05-2016,-,-,-,-,-,-,-,-,-,-
27-05-2016,-,-,-,-,-,-,-,-,-,-
28-05-2016,-,-,-,-,-,-,-,-,-,-
29-05-2016,-,-,-,-,-,-,-,-,-,-
30-05-2016,-,-,-,-,-,-,-,-,-,-
31-05-2016,-,-,-,-,-,-,-,-,-,-
01-06-2016,24.4,33.8,28.1,87,-,3.8,3,100,2,NE
02-06-2016,-,-,-,-,-,-,-,-,-,-
03-06-2016,-,-,-,-,-,-,-,-,-,-
04-06-2016,-,-,-,-,-,-,-,-,-,-
05-06-2016,-,-,-,-,-,-,-,-,-,-
06-06-2016,-,-,-,-,-,-,-,-,-,-
07-06-2016,-,-,-,-,-,-,-,-,-,-
08-06-2016,-,-,-,-,-,-,-,-,-,-
09-06-2016,-,-,-,-,-,-,-,-,-,-
10-06-2016,-,-,-,-,-,-,-,-,-,-
11-06-2016,-,-,-,-,-,-,-,-,-,-
12-06-2016,-,-,-,-,-,-,-,-,-,-
13-06-2016,-,-,-,-,-,-,-,-,-,-
14-06-2016,-,-,-,-,-,-,-,-,-,-
15-06-2016,-,-,-,-,-,-,-,-,-,-
16-06-2016,-,-,-,-,-,-,-,-,-,-
17-06-2016,-,-,-,-,-,-,-,-,-,-
18-06-2016,-,-,-,-,-,-,-,-,-,-
19-06-2016,-,-,-,-,-,-,-,-,-,-
20-06-2016,-,-,-,-,-,-,-,-,-,-
21-06-2016,-,-,-,-,-,-,-,-,-,-
22-06-2016,-,-,-,-,-,-,-,-,-,-
23-06-2016,-,-,-,-,-,-,-,-,-,-
24-06-2016,-,-,-,-,-,-,-,-,-,-
25-06-2016,-,-,-,-,-,-,-,-,-,-
26-06-2016,-,-,-,-,-,-,-,-,-,-
27-06-2016,-,-,-,-,-,-,-,-,-,-
28-06-2016,-,-,-,-,-,-,-,-,-,-
29-06-2016,-,-,-,-,-,-,-,-,-,-
30-06-2016,-,-,-,-,-,-,-,-,-,-
01-07-2016,24.8,34,28,86,2,6,3,220,1,W 
02-07-2016,25.2,33.9,28.6,84,0.2,1.7,3,210,1,N 
03-07-2016,26.4,33,27.2,88,-,6.7,4,100,2,E 
04-07-2016,23,34.4,27.7,84,50.5,4.8,3,100,1,E 
05-07-2016,25.2,34.4,27.2,86,4.3,7.2,3,180,2,SE
06-07-2016,24,34.2,28.4,81,14.2,7.6,3,50,2,E 
07-07-2016,25.4,34.4,28.9,81,-,8.9,3,50,2,NE
08-07-2016,24.4,33.8,28.2,81,12.8,8.6,3,60,2,NE
09-07-2016,25,35,28.7,79,-,8.9,3,100,2,E 
10-07-2016,25,33.2,27.7,83,-,6.1,3,70,1,N 
11-07-2016,25.2,33,27.1,92,-,1.6,2,90,1,W 
12-07-2016,24.2,33.6,27,90,24.5,4.4,3,160,1,N 
13-07-2016,24,32.2,26.6,90,21.7,5.8,3,50,1,N 
14-07-2016,24.8,32.8,28.2,83,0.8,3.7,4,60,2,E 
15-07-2016,25.4,34.4,28.6,81,-,5.2,4,50,2,E 
16-07-2016,24.8,34,27.3,87,-,8.1,3,250,1,E 
17-07-2016,25.6,31.8,27,89,-,7,3,270,1,W 
18-07-2016,24,34,26.4,86,4,3.8,5,200,1,N 
19-07-2016,23.4,32,26.3,94,42.8,7.7,4,260,1,SW
20-07-2016,23.8,31.2,25.5,90,2.3,5.3,4,50,1,N 
21-07-2016,23.4,33.4,27.7,82,29.6,2.7,4,240,2,SE
22-07-2016,23.6,31,25,94,0.6,7.6,2,100,1,N 
23-07-2016,23,33.6,27.3,83,-,2.5,3,50,2,E 
24-07-2016,24.2,33.3,26.6,88,1.7,8.4,3,160,1,S 
25-07-2016,23.8,32,26.4,90,24,7.6,3,280,1,W 
26-07-2016,23,33.8,27.3,78,12,2.4,2,240,1,N 
27-07-2016,24.2,33.6,27.9,77,-,8.4,3,90,2,E 
28-07-2016,24,33.2,27.8,78,-,8.5,3,70,1,E 
29-07-2016,25,34,27.9,83,-,7.8,3,280,1,W 
30-07-2016,24.8,33.6,28.1,82,14.2,4.9,3,110,2,SE
31-07-2016,24.8,33.7,28.4,76,-,6,4,60,1,N 
01-08-2016,25.2,34.4,28.9,80,-,9.1,2,180,1,N 
02-08-2016,24.2,34,27.2,80,1.2,8.4,7,180,2,S 
03-08-2016,23,33.8,28.1,69,40,6.9,3,70,2,E 
04-08-2016,24.4,33.2,27.9,73,-,9.6,3,170,1,S 
05-08-2016,23.4,33,27.4,75,-,6.4,3,160,1,N 
06-08-2016,23.4,35,27.8,74,-,7.6,3,210,1,W 
07-08-2016,23.6,34.3,28.1,72,-,7.5,3,250,1,W 
08-08-2016,26.4,31.8,27.8,82,0.6,7.4,3,130,1,SE
09-08-2016,24.2,32.6,26.7,85,9.7,2.3,3,220,1,E 
10-08-2016,23.2,34,27.4,81,43.3,4.9,3,80,1,N 
11-08-2016,23,33.4,28.8,78,-,8,4,120,1,N 
12-08-2016,24.8,32.8,28,83,4,4.5,3,70,1,N 
13-08-2016,26.6,32.6,28.7,75,0.3,7.6,3,270,2,S 
14-08-2016,24.7,31,26.1,89,9.9,2.8,3,60,1,N 
15-08-2016,24.4,31.6,27.5,83,19,1,3,60,1,N 
16-08-2016,25.6,30.7,27.7,77,-,2.2,3,80,1,E 
17-08-2016,24.4,34.2,28.3,76,-,2,3,110,2,E 
18-08-2016,25.4,33,27.7,82,2.9,7.8,3,190,1,N 
19-08-2016,22,33.9,28.5,78,-,3.4,5,80,1,N 
20-08-2016,23.4,34,27.7,76,25,6.3,3,220,2,NE
21-08-2016,23.2,32.8,28.4,76,-,9.2,3,260,1,E 
22-08-2016,24.2,32,27.5,77,25.2,8,2,100,1,SE
23-08-2016,24,33.1,27.9,79,21.5,7.7,2,230,0,N 
24-08-2016,25,32.4,27.5,82,0.1,6.1,3,110,1,N 
25-08-2016,24.2,32.5,26.8,81,1,7.9,2,280,1,S 
26-08-2016,24.2,32,27.6,82,-,3.8,2,60,1,E 
27-08-2016,24,32.4,26.2,87,-,4.3,4,180,2,E 
28-08-2016,22.6,33.2,27.3,85,58,3.3,3,80,0,N 
29-08-2016,24.6,31.2,26.2,91,14.5,2.7,3,90,0,N 
30-08-2016,24.8,32,25.1,93,0.4,4,3,200,1,N 
31-08-2016,23.6,33.2,27.3,85,58,1.6,3,90,1,E 
01-09-2016,24.6,33.6,28.1,81,-,6.8,3,140,1,C 
02-09-2016,23.2,33,27.7,82,25,6.6,3,190,1,N 
03-09-2016,25,33,28.4,78,1.2,6.2,3,180,1,E 
04-09-2016,24.2,32.6,26.8,85,-,6.6,2,70,0,N 
05-09-2016,24.8,33.2,28.4,78,6,4,3,80,2,E 
06-09-2016,24.8,32.8,27.8,81,-,7.7,4,300,1,N 
07-09-2016,-,34,27.7,79,0.4,5.8,3,260,2,E 
08-09-2016,23.6,31.6,27.4,82,11.8,6.8,2,250,1,N 
09-09-2016,24.8,33.5,28.3,76,0.1,2.6,4,100,2,E 
10-09-2016,25.6,34,28.9,72,-,5.5,4,70,2,E 
11-09-2016,25.2,35,27.8,76,-,5.9,5,250,2,S 
12-09-2016,24,34,29.1,66,8888,6,3,110,1,N 
13-09-2016,24.5,34,28.5,75,2,6.2,3,260,1,E 
14-09-2016,25.6,33,28.4,75,-,7.7,4,100,2,E 
15-09-2016,23.8,33,26.9,86,42,5.3,3,210,1,N 
16-09-2016,23.4,32,27.4,82,14.2,4.9,3,70,1,E 
17-09-2016,23.8,31.8,28.1,82,2,2.5,4,220,2,W 
18-09-2016,25.2,32.2,27.3,89,9,2.4,2,120,0,N 
19-09-2016,25.2,33,26.2,92,-,2.1,3,290,1,N 
20-09-2016,24.8,33.2,28,83,15.7,4.9,5,240,2,W 
21-09-2016,25,32.2,25.8,91,-,8.4,3,280,1,N 
