TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-01-2015,23,30,-,-,22,0.1,4,290,2,W 
02-01-2015,24,-,-,-,1.7,0.4,5,280,3,W 
03-01-2015,24,31.5,25.7,89,-,-,5,300,2,W 
04-01-2015,23,29,-,-,49.8,3.9,5,270,2,W 
05-01-2015,23,31.8,26.5,84,10.2,0.8,6,250,3,W 
06-01-2015,25,-,-,-,8888,6.4,5,270,3,W 
07-01-2015,25,-,-,-,-,4.3,4,240,2,W 
08-01-2015,25,-,-,-,3.8,5.7,7,280,4,W 
09-01-2015,26,33.2,28.4,77,-,7.1,7,240,5,W 
10-01-2015,25,33,-,-,-,7.6,5,250,3,W 
11-01-2015,24,33.1,27.9,76,-,4.8,5,250,4,W 
12-01-2015,25,-,-,-,-,9.8,2,160,1,N 
13-01-2015,24,-,-,-,50.7,0,2,230,1,SW
14-01-2015,24,30,-,-,31.3,0,3,220,1,W 
15-01-2015,24,32.6,27,82,5.3,0.9,4,290,2,W 
16-01-2015,24,31.8,27.6,81,-,6.7,5,310,2,NW
17-01-2015,24,30.2,27.2,83,7.7,7,4,280,2,W 
18-01-2015,24,30.6,26.8,84,13.9,3.6,6,320,2,W 
19-01-2015,24,28,24.9,92,-,0.7,6,260,0,N 
21-01-2015,23,30.6,25.7,88,2.9,3.8,5,240,2,N 
22-01-2015,23,30.4,25.3,95,5.4,6,4,250,1,N 
23-01-2015,23,28,24.9,93,87.3,0,2,170,0,N 
24-01-2015,23,31.4,26.7,84,5.2,0,4,290,2,W 
25-01-2015,24,31.8,-,-,4.9,6.7,5,270,2,N 
26-01-2015,24,30.6,26.5,85,2.7,5.4,4,300,2,N 
27-01-2015,24,31,26.8,86,11,3.8,4,330,2,NW
28-01-2015,24,-,-,-,0.2,1.9,4,270,2,W 
29-01-2015,24,-,-,-,-,7.3,3,270,2,W 
30-01-2015,24,32,-,-,5.5,7.2,5,300,2,W 
31-01-2015,25,-,-,-,0.3,5.8,4,310,3,W 
01-02-2015,24,-,-,-,19.7,3.3,3,200,1,N 
03-02-2015,25,-,-,-,-,5.5,3,280,2,W 
04-02-2015,25,31,26.8,83,-,0.4,4,270,2,W 
05-02-2015,24,31,26.9,86,1.8,1.4,3,260,2,W 
06-02-2015,24,-,-,-,8888,2,4,300,2,W 
07-02-2015,23,-,-,-,9.3,5.1,5,310,2,W 
08-02-2015,24,31,25.9,88,1.9,6.4,4,290,2,W 
09-02-2015,24,-,-,-,19,1.7,2,160,1,S 
10-02-2015,23,29,25.8,89,117,0,3,330,1,N 
11-02-2015,24,28.6,25.1,92,13,3.4,3,280,1,W 
12-02-2015,23,30,25.6,90,0.7,0.6,4,310,2,W 
13-02-2015,24,-,-,-,0.4,2.6,4,310,3,W 
14-02-2015,24,31.2,26.8,86,17,2.2,5,340,2,N 
15-02-2015,24,-,-,-,-,6.4,2,110,1,E 
16-02-2015,25,32,27.4,86,-,3,3,90,1,N 
17-02-2015,25,29.8,26.4,90,-,4.2,4,300,1,N 
18-02-2015,23,31.4,26.4,89,1,0.8,6,330,2,W 
19-02-2015,23,-,-,-,14.8,5.2,3,230,1,N 
20-02-2015,23,31,26.7,86,0.2,0.1,2,230,1,N 
21-02-2015,24,33.8,27.8,85,-,1.9,4,330,2,W 
22-02-2015,22,34,27.4,77,-,7.1,6,330,2,W 
23-02-2015,24,32.4,27.5,88,-,10.7,4,310,2,SW
24-02-2015,24,33,27.5,85,4.1,4.2,3,280,1,N 
25-02-2015,24,34,28.1,87,-,6.2,3,140,1,N 
26-02-2015,24,34.3,27.6,84,-,4.6,3,160,1,S 
27-02-2015,-,33,27.6,89,6,4.5,4,40,1,N 
28-02-2015,25,32,27.8,87,-,3.6,5,110,2,N 
01-03-2016,24,32,26.9,88,44.2,2.5,5,290,3,W 
02-03-2016,-,-,-,-,-,-,-,-,-,-
03-03-2016,-,-,-,-,-,-,-,-,-,-
04-03-2016,-,-,-,-,-,-,-,-,-,-
05-03-2016,-,-,-,-,-,-,-,-,-,-
06-03-2016,-,-,-,-,-,-,-,-,-,-
07-03-2016,-,-,-,-,-,-,-,-,-,-
08-03-2016,-,-,-,-,-,-,-,-,-,-
09-03-2016,-,-,-,-,-,-,-,-,-,-
10-03-2016,-,-,-,-,-,-,-,-,-,-
11-03-2016,-,-,-,-,-,-,-,-,-,-
12-03-2016,-,-,-,-,-,-,-,-,-,-
13-03-2016,-,-,-,-,-,-,-,-,-,-
14-03-2016,-,-,-,-,-,-,-,-,-,-
15-03-2016,-,-,-,-,-,-,-,-,-,-
16-03-2016,-,-,-,-,-,-,-,-,-,-
17-03-2016,-,-,-,-,-,-,-,-,-,-
18-03-2016,-,-,-,-,-,-,-,-,-,-
19-03-2016,-,-,-,-,-,-,-,-,-,-
20-03-2016,-,-,-,-,-,-,-,-,-,-
21-03-2016,-,-,-,-,-,-,-,-,-,-
22-03-2016,-,-,-,-,-,-,-,-,-,-
23-03-2016,-,-,-,-,-,-,-,-,-,-
24-03-2016,-,-,-,-,-,-,-,-,-,-
25-03-2016,-,-,-,-,-,-,-,-,-,-
26-03-2016,-,-,-,-,-,-,-,-,-,-
