BULAN,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,TAHUN
1,24.41290322580645,32.01935483870968,27.55483870967742,82.3225806451613,6.226086956521739,4.441935483870967,4.032258064516129,221.93548387096774,1.7096774193548387,2022
2,24.292857142857144,31.457142857142856,27.107142857142858,83.85714285714286,8.455,3.0357142857142856,3.25,174.28571428571428,1.3928571428571428,2022
3,24.46333333333333,32.403571428571425,27.503333333333334,83.25806451612904,11.904347826086957,3.693548387096774,3.5806451612903225,187.4516129032258,1.6129032258064515,2022
4,24.720000000000002,32.92666666666666,27.720000000000002,82.46666666666667,10.27142857142857,5.2,3.1333333333333333,161.0,1.3,2022
5,24.57741935483871,32.72666666666667,28.016129032258064,82.38709677419355,11.905,4.309677419354839,3.161290322580645,84.83870967741936,1.1935483870967742,2022
6,24.043333333333333,32.03,27.040000000000003,84.06666666666666,15.18421052631579,4.023333333333333,3.066666666666667,97.66666666666667,0.7666666666666667,2022
7,24.79032258064516,32.938709677419354,28.22258064516129,80.80645161290323,15.209999999999999,5.403225806451613,3.032258064516129,92.58064516129032,1.064516129032258,2022
8,24.74516129032258,33.061290322580646,28.274193548387096,83.06451612903226,14.469999999999999,6.041935483870968,4.032258064516129,123.54838709677419,1.7096774193548387,2022
9,24.41,32.516666666666666,27.596666666666668,84.73333333333333,17.141176470588235,4.48,4.033333333333333,136.66666666666666,1.4333333333333333,2022
10,24.361290322580647,32.3,27.470967741935485,86.09677419354838,16.541176470588233,3.583870967741935,3.903225806451613,184.83870967741936,1.6129032258064515,2022
11,24.490000000000002,32.306666666666665,27.486666666666668,85.8,20.44705882352941,3.1533333333333333,4.2,190.0,1.8,2022
12,24.096774193548388,31.4,27.03548387096774,87.19354838709677,17.76842105263158,2.9935483870967743,4.354838709677419,240.96774193548387,1.7419354838709677,2022
