BULAN,TAVG,RH_AVG,RR,SS,TAHUN
1,26.133333333333336,86.66666666666667,11.375,3.4333333333333336,2017
2,26.585714285714285,86.42857142857143,18.604761904761904,3.210714285714286,2017
3,27.307407407407407,83.29629629629629,22.55,4.338709677419355,2017
4,27.506666666666668,81.73333333333333,14.603846153846153,4.19,2017
5,28.200000000000003,80.25806451612904,11.028571428571428,4.058064516129032,2017
6,27.85,78.76666666666667,8.223076923076922,4.720689655172414,2017
7,27.75483870967742,77.2258064516129,13.01,4.412903225806452,2017
8,28.183870967741935,70.0,3.16,5.235483870967743,2017
9,28.3,73.3,19.254545454545454,5.613333333333333,2017
10,28.186666666666667,78.41935483870968,9.493333333333334,4.312903225806451,2017
11,27.653333333333332,82.1,22.48125,3.283333333333333,2017
12,27.59032258064516,80.09677419354838,16.742857142857144,3.174193548387097,2017
