BULAN,TAVG,RH_AVG,RR,SS,TAHUN
1,27.363333333333333,86.4,16.73076923076923,3.4466666666666668,2020
2,27.093103448275862,87.10344827586206,20.54090909090909,2.903448275862069,2020
3,27.809677419354838,83.93548387096774,12.600000000000001,4.203225806451614,2020
4,28.183333333333334,82.76666666666667,14.5,5.246666666666667,2020
5,28.583870967741937,80.41935483870968,9.894444444444444,4.758064516129032,2020
6,28.706666666666667,76.5,2.8133333333333335,5.1899999999999995,2020
7,28.373333333333335,74.19354838709677,2.9625,5.803225806451613,2020
8,28.50689655172414,74.03225806451613,4.761111111111111,7.019354838709678,2020
9,30.453333333333333,66.33333333333333,10.635294117647058,6.45,2020
10,27.924242424242426,79.18181818181819,23.322727272727274,5.253125,2020
11,28.290909090909093,79.36363636363636,6.485185185185185,5.106060606060606,2020
12,27.364516129032257,81.61290322580645,5.490909090909091,3.7580645161290325,2020
1,26.55806451612903,86.58064516129032,12.02,2.232258064516129,2021
2,26.803448275862067,86.58620689655173,18.618518518518517,3.7896551724137932,2021
3,27.599999999999998,82.06060606060606,5.414285714285715,4.821212121212121,2021
4,28.10666666666667,79.7,11.950000000000001,6.083333333333333,2021
5,28.318181818181817,80.9090909090909,17.8,6.033333333333333,2021
6,27.47741935483871,84.35483870967742,18.018181818181816,4.393548387096774,2021
7,28.112121212121213,76.48484848484848,6.952941176470588,6.215151515151515,2021
8,28.087878787878786,76.15151515151516,9.705263157894738,6.254545454545455,2021
9,28.521875,75.03125,4.581818181818182,6.20625,2021
10,28.374193548387098,77.6774193548387,8.114285714285714,5.2266666666666675,2021
11,27.740000000000002,81.6,14.225,4.06,2021
12,28.874193548387098,78.0,13.704166666666666,3.8133333333333335,2021
1,27.55483870967742,82.3225806451613,6.226086956521739,4.441935483870967,2022
2,27.107142857142858,83.85714285714286,8.455,3.0357142857142856,2022
3,27.503333333333334,83.25806451612904,11.904347826086957,3.693548387096774,2022
4,27.720000000000002,82.46666666666667,10.27142857142857,5.2,2022
5,28.016129032258064,82.38709677419355,11.905,4.309677419354839,2022
6,27.040000000000003,84.06666666666666,15.18421052631579,4.023333333333333,2022
7,28.22258064516129,80.80645161290323,15.209999999999999,5.403225806451613,2022
8,28.274193548387096,83.06451612903226,14.469999999999999,6.041935483870968,2022
9,27.596666666666668,84.73333333333333,17.141176470588235,4.48,2022
10,27.470967741935485,86.09677419354838,16.541176470588233,3.583870967741935,2022
11,27.486666666666668,85.8,20.44705882352941,3.1533333333333333,2022
12,27.03548387096774,87.19354838709677,17.76842105263158,2.9935483870967743,2022
1,27.467741935483872,85.64516129032258,8.407692307692308,3.5032258064516126,2023
2,26.625,88.89285714285714,22.41,2.317857142857143,2023
3,27.364516129032257,83.87096774193549,13.810526315789472,4.270967741935484,2023
4,28.796666666666667,77.43333333333334,6.383333333333334,5.54,2023
5,29.358064516129033,82.12903225806451,7.566666666666666,4.551612903225807,2023
6,28.803333333333335,82.5,8.326666666666666,5.233333333333333,2023
7,28.241935483870968,80.58064516129032,6.6875,5.216129032258064,2023
8,28.53548387096774,76.58064516129032,1.7999999999999998,7.070967741935483,2023
9,29.033333333333335,72.83333333333333,15.2,7.4,2023
10,30.363333333333333,71.43333333333334,4.466666666666667,8.02,2023
11,30.796666666666667,72.33333333333333,16.20714285714286,5.013333333333334,2023
12,30.458064516129035,72.16129032258064,14.766666666666667,5.087096774193548,2023
1,28.903225806451612,80.03225806451613,21.525,3.990322580645161,2024
2,29.32758620689655,82.06896551724138,11.8,3.8448275862068964,2024
3,28.993548387096773,82.80645161290323,19.434782608695652,3.8161290322580643,2024
4,30.116666666666667,81.6,19.86315789473684,4.286666666666666,2024
5,31.070967741935487,77.29032258064517,8.142857142857142,4.764516129032257,2024
6,30.11,78.93333333333334,9.542857142857144,4.92,2024
7,28.333333333333332,73.96666666666667,33.800000000000004,6.126666666666667,2024
8,28.719354838709677,71.3225806451613,12.833333333333334,6.532258064516129,2024
9,28.916666666666668,73.9,14.11111111111111,6.2,2024
10,29.758064516129032,72.45161290322581,5.2,6.403225806451613,2024
11,28.276666666666664,80.13333333333334,23.25,4.233333333333333,2024
12,27.61935483870968,81.80645161290323,8.157894736842104,2.9499999999999997,2024
