BULAN,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,TAHUN
1,24.382758620689657,31.126666666666665,27.363333333333333,86.4,16.73076923076923,3.4466666666666668,3.774193548387097,253.2258064516129,1.6451612903225807,2020
2,24.479310344827585,31.03448275862069,27.093103448275862,87.10344827586206,20.54090909090909,2.903448275862069,4.275862068965517,252.41379310344828,1.7241379310344827,2020
3,24.9037037037037,31.929032258064513,27.809677419354838,83.93548387096774,12.600000000000001,4.203225806451614,3.935483870967742,230.6451612903226,1.5161290322580645,2020
4,25.392857142857142,32.45333333333333,28.183333333333334,82.76666666666667,14.5,5.246666666666667,3.6333333333333333,162.66666666666666,1.2666666666666666,2020
5,25.71333333333333,32.806451612903224,28.583870967741937,80.41935483870968,9.894444444444444,4.758064516129032,3.5806451612903225,130.06451612903226,1.4193548387096775,2020
6,25.826666666666664,33.193333333333335,28.706666666666667,76.5,2.8133333333333335,5.1899999999999995,3.566666666666667,88.0,1.5666666666666667,2020
7,25.224137931034484,33.10689655172414,28.373333333333335,74.19354838709677,2.9625,5.803225806451613,3.4516129032258065,116.6774193548387,1.4193548387096775,2020
8,24.71481481481481,33.92413793103448,28.50689655172414,74.03225806451613,4.761111111111111,7.019354838709678,3.6129032258064515,96.45161290322581,1.5161290322580645,2020
9,24.906896551724138,34.08,30.453333333333333,66.33333333333333,10.635294117647058,6.45,3.7333333333333334,136.0,1.4666666666666666,2020
10,24.671875,32.46363636363636,27.924242424242426,79.18181818181819,23.322727272727274,5.253125,3.303030303030303,167.57575757575756,1.1818181818181819,2020
11,24.803125,33.03636363636364,28.290909090909093,79.36363636363636,6.485185185185185,5.106060606060606,3.6363636363636362,156.66666666666666,1.5151515151515151,2020
12,24.33448275862069,31.56451612903226,27.364516129032257,81.61290322580645,5.490909090909091,3.7580645161290325,4.838709677419355,246.4516129032258,2.4838709677419355,2020
