BULAN,TAVG,RH_AVG,RR,SS,TAHUN
1,27.153333333333332,81.35483870967742,7.076190476190476,2.541935483870968,2018
2,26.675,86.60714285714286,10.291304347826086,3.8607142857142853,2018
3,27.33225806451613,83.6,12.716666666666667,4.12258064516129,2018
4,27.9,81.26666666666667,16.866666666666667,3.9166666666666665,2018
5,28.52258064516129,76.09677419354838,15.739999999999998,4.232258064516128,2018
6,28.083333333333332,76.33333333333333,8.844444444444443,3.0366666666666666,2018
7,27.59032258064516,69.48387096774194,1.5,5.551612903225807,2018
8,28.12258064516129,67.6774193548387,1.6666666666666667,5.338709677419355,2018
9,28.466666666666665,65.33333333333333,11.22,5.803333333333333,2018
10,29.306451612903224,69.96774193548387,12.666666666666666,5.412903225806452,2018
11,28.106896551724137,78.6896551724138,9.988235294117647,2.872413793103448,2018
12,27.979310344827585,80.3,14.121428571428572,4.496774193548387,2018
