TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-01-2024,24.7,32.1,30.2,78,21,6.6,2,310,1,C 
02-01-2024,25.6,33.2,30.5,77,-,0.7,3,170,1,C 
03-01-2024,25.2,30,27.9,86,10.7,1,2,290,1,C 
04-01-2024,25.2,30.9,27,88,4.6,0.1,3,290,1,C 
05-01-2024,23.7,35.5,29.1,78,53.8,0,5,230,1,C 
06-01-2024,24.4,32.8,27.7,84,13.2,4.8,4,40,1,C 
07-01-2024,23.4,31.6,27.3,86,75.2,4.4,3,270,1,SW
08-01-2024,24,32,29,78,7,4.2,3,170,1,C 
09-01-2024,24.8,34.8,30.3,73,8888,4.4,5,250,2,W 
10-01-2024,25,33.1,28.9,81,0.3,5.4,5,250,2,SW
11-01-2024,25.2,32.9,28.6,81,8888,4.9,3,270,1,W 
12-01-2024,24.6,32.6,28.8,79,3.6,4.2,4,250,2,W 
13-01-2024,24.6,32.8,28.6,81,-,3,3,10,1,C 
14-01-2024,24.6,32.8,29,83,46,1.2,3,50,2,C 
15-01-2024,24.8,32.1,30.1,76,5.7,5.9,3,280,2,NW
16-01-2024,24.7,34.6,30.8,67,8888,4.3,6,270,3,W 
17-01-2024,25.5,31.8,28.2,87,-,7.2,5,250,2,W 
18-01-2024,24.6,31.2,28.6,79,16.5,2.8,6,270,3,W 
19-01-2024,24,27,25.2,93,17.9,1.8,6,270,2,W 
20-01-2024,24.2,34.2,31,68,16.3,0,8,210,4,W 
21-01-2024,24.2,32.4,28.7,80,-,10.6,6,290,3,W 
22-01-2024,24.4,34.2,31,70,3.5,4.9,5,240,3,W 
23-01-2024,26,33,30.4,73,-,8.3,5,300,3,W 
24-01-2024,25.4,32.6,29.9,73,-,4.2,8,210,4,W 
25-01-2024,25.2,35.2,31.1,72,-,6.9,5,260,3,W 
26-01-2024,25.9,33.4,30.5,73,-,9.5,4,290,2,NW
27-01-2024,25,30.4,25.8,93,6.8,6.5,5,30,1,C 
28-01-2024,24.1,30.4,28.2,87,44.1,0.4,3,290,1,C 
29-01-2024,24.2,31,27.8,87,10,1.5,3,290,1,NW
30-01-2024,23.6,30.6,27.6,86,20.8,1.8,3,320,2,NW
31-01-2024,23.2,30.6,28.2,84,53.5,2.2,3,290,1,W 
01-02-2024,23,33.2,29.1,82,-,0.2,7,330,3,SW
02-02-2024,24.4,34.4,30.8,76,2,4.9,4,80,2,W 
03-02-2024,25.2,31.4,28.1,84,0.6,9,7,250,2,SW
04-02-2024,25,32,28.7,82,-,0.5,7,220,3,SW
05-02-2024,25.6,33,28.4,85,4.1,5.8,6,280,1,W 
06-02-2024,24.6,30,26.5,90,32.8,3.6,6,240,2,W 
07-02-2024,23.4,32.8,29.1,80,11.2,0.9,5,240,2,W 
08-02-2024,24.3,34.2,30.5,75,-,4.5,6,330,2,N 
09-02-2024,24.4,34.2,30,81,-,8.8,3,310,2,NW
10-02-2024,25.6,32.4,28.7,84,12.8,5,4,340,2,C 
11-02-2024,24.8,32.4,29.9,79,0.1,4,5,330,3,NW
12-02-2024,25,32.4,29.6,79,13.3,6.6,6,320,2,NW
13-02-2024,25.4,32.9,30.1,78,2.3,5.5,4,20,2,NW
14-02-2024,24,32.6,28,87,105.6,6.3,2,320,1,C 
15-02-2024,24.5,31.6,29.5,85,0.5,3.2,4,310,2,W 
16-02-2024,26,31.4,28.8,87,-,0.3,3,360,2,N 
17-02-2024,25.6,31.4,28.7,85,-,0,6,300,3,NW
18-02-2024,25.4,32.8,29.5,82,0.9,6.1,3,340,1,C 
19-02-2024,25.4,32.8,29.6,84,8888,4.2,3,40,1,C 
20-02-2024,25.6,33.8,31,78,5.6,1.3,3,30,2,N 
21-02-2024,26.7,32.2,29.7,84,-,8.8,4,210,2,C 
22-02-2024,25.4,35,31.8,75,2.8,0.2,4,270,2,W 
23-02-2024,25.9,34.4,31.3,75,8888,8.7,4,260,2,W 
24-02-2024,26.2,34.6,30.3,81,-,4.2,3,320,2,NW
25-02-2024,25.4,31.8,29.3,82,0.2,3.2,6,330,2,SW
26-02-2024,25.2,30.8,29.4,80,5.8,0.4,3,10,2,N 
27-02-2024,26.2,32.2,30.3,78,-,0.8,4,320,2,NW
28-02-2024,25,32.2,28,88,2.2,4.1,2,350,1,C 
29-02-2024,25.3,30,25.8,94,9.6,0.4,2,20,1,C 
01-03-2024,23.5,33.3,29.8,82,21.9,0,5,330,2,NW
02-03-2024,24.9,30,28.2,90,42,7.4,4,10,1,N 
03-03-2024,24.6,30.9,28.4,87,21.6,1.3,4,230,1,C 
04-03-2024,24.4,33.6,29.8,80,8.8,2,5,270,2,SW
05-03-2024,25.5,34.6,30.9,76,8888,6.3,5,260,2,W 
06-03-2024,26.2,34.6,30.6,79,8888,7.8,6,260,3,W 
07-03-2024,26,34.2,31.2,76,8888,6.7,5,230,4,W 
08-03-2024,25.4,32.8,29.1,85,-,5.7,5,250,3,SW
09-03-2024,25.2,28.4,25.4,94,4.8,0,4,290,2,W 
10-03-2024,24.3,29.5,27.4,92,10.3,0,3,60,1,C 
11-03-2024,24.8,29.2,28.1,93,40.7,0,4,310,2,NW
12-03-2024,25,31.6,29.3,89,0.2,0,7,280,3,SW
13-03-2024,25.2,30.8,28.9,82,13.5,3.6,4,290,2,NW
14-03-2024,25.8,29.8,27.4,91,2.2,1.1,3,320,1,C 
15-03-2024,24.2,30.2,27,90,17.4,0,4,230,2,W 
16-03-2024,24,29.3,26,93,11.2,0,3,290,1,W 
17-03-2024,23.8,29.2,27,90,12.9,0.8,6,280,2,SW
18-03-2024,24.4,33,29.7,82,1.9,1.9,4,240,2,W 
19-03-2024,24.6,34.6,31.1,69,-,6.8,5,300,3,W 
20-03-2024,23.8,34.8,31.4,62,-,10.7,6,200,3,W 
21-03-2024,23.6,33.2,30.2,71,-,10.8,6,330,3,NW
22-03-2024,23.8,28,26,92,64.5,11.1,3,60,1,C 
23-03-2024,23.7,33.4,30.6,72,56.2,0,4,30,1,NE
24-03-2024,25.6,33.6,31,77,8.8,6.8,4,100,2,NE
25-03-2024,25.2,33,29.4,81,2.8,6.6,4,30,1,C 
26-03-2024,25.2,33,29.2,79,6,3.9,4,270,1,C 
27-03-2024,25.8,30.6,28.7,83,19,3.7,2,300,1,NW
28-03-2024,25.2,33.2,28.3,85,-,0,4,330,1,C 
29-03-2024,24.6,32.8,29.1,83,45,4.4,4,30,1,C 
30-03-2024,24.8,33.2,29.2,84,17.3,3.8,5,40,2,C 
31-03-2024,25.4,34.2,30.4,78,18,5.1,4,90,1,E 
01-04-2024,25.8,32.5,28.8,82,0.4,6.3,3,300,1,C 
02-04-2024,25.2,32.6,29.7,83,11,3.7,3,330,1,C 
03-04-2024,25.7,34,28.8,86,5,0.9,5,50,1,C 
04-04-2024,24.2,33.6,29.9,83,37.3,2.7,3,200,0,C 
05-04-2024,25.4,32,28.5,88,8888,4.4,3,240,1,C 
06-04-2024,24.6,33.6,30.2,82,14.3,1.1,3,280,1,W 
07-04-2024,25.8,34.8,31.6,77,-,3,3,320,1,C 
08-04-2024,26,34.4,31.2,76,-,7.4,3,40,1,C 
09-04-2024,25.4,33.8,29.1,84,-,4.8,4,70,1,C 
10-04-2024,24.3,35,30.1,80,42.6,0.9,3,30,1,NE
11-04-2024,24.2,33.2,30.3,81,43,5.1,3,20,2,NE
12-04-2024,24.2,32,27.6,90,45,4.1,3,230,1,C 
13-04-2024,24.7,34.2,31,79,18.8,1,6,30,1,C 
14-04-2024,25.3,33.2,29.9,84,10.6,2.8,3,50,1,S 
15-04-2024,25,33.8,29.8,81,7.3,5.1,4,80,2,NE
16-04-2024,25.8,34.8,32,75,8888,7.3,4,50,2,E 
17-04-2024,26.8,34.6,30.6,81,-,8.6,3,330,2,NW
18-04-2024,24.8,33.6,29.9,81,13.5,7.1,6,210,2,SW
19-04-2024,24,32.2,29.5,83,21.7,6.3,4,40,1,NE
20-04-2024,25.4,34.6,31.2,77,0.1,2.9,5,10,2,NE
21-04-2024,25.9,32,28.8,86,1,6.9,3,260,1,SW
22-04-2024,25.4,34.2,31.5,76,8888,0.6,4,20,2,NE
23-04-2024,26.4,34,30.6,80,8888,9.1,4,30,2,NE
24-04-2024,25.8,33.6,30,83,-,2.8,3,20,1,N 
25-04-2024,24.8,31.4,28.8,89,67.5,1,2,340,1,C 
26-04-2024,25,33.6,29.4,86,20.7,0,2,50,1,NE
27-04-2024,25.6,34.2,29.9,81,14.3,6,5,70,1,C 
28-04-2024,25.4,34,31,81,3.3,3.8,6,30,1,N 
29-04-2024,27.2,35,32.2,74,-,5.3,4,80,2,NE
30-04-2024,27.6,33.6,31.6,79,-,7.6,3,20,1,N 
01-05-2024,26.4,33.2,31,79,0.2,2.9,3,40,1,C 
02-05-2024,26.4,35.4,32,76,-,1.4,4,120,2,E 
03-05-2024,26,33.8,30.5,82,-,3.8,3,30,1,SW
04-05-2024,25.8,34.6,31.1,77,8888,3.7,5,170,2,SW
05-05-2024,25.6,35,31.7,75,-,5.9,3,30,1,C 
06-05-2024,26.3,34.6,31.6,73,-,6.4,3,60,1,NE
07-05-2024,26,35.6,32.1,69,-,7.1,4,30,2,N 
08-05-2024,26.8,33.6,31.3,74,-,6.6,4,20,2,N 
09-05-2024,25.6,34.2,31.6,73,8888,7,4,360,2,C 
10-05-2024,26.3,35,32.3,73,-,6.2,4,60,2,E 
11-05-2024,26,34.8,29.8,84,-,8,2,90,1,C 
12-05-2024,25.4,35.1,31.9,72,20.3,3.9,4,60,2,NE
13-05-2024,26.3,32.2,30,81,-,7.8,3,60,2,W 
14-05-2024,26.6,31.6,29.2,85,-,3.8,4,20,1,N 
15-05-2024,26.4,35,32,71,4.7,0,3,80,2,E 
16-05-2024,28.2,33.8,31.4,76,-,9.3,4,30,2,NE
17-05-2024,27.2,34.6,30.8,78,-,4.1,5,200,2,NE
18-05-2024,25.5,34.4,31.5,75,15,3.6,4,40,2,NE
19-05-2024,26.6,34.2,31.3,77,-,7.7,3,20,1,N 
20-05-2024,26.7,34.2,31.2,76,-,5.6,3,70,2,E 
21-05-2024,27,34.2,31.6,74,-,2.8,4,20,1,E 
22-05-2024,26.9,33.3,30.1,81,-,5.1,3,340,2,E 
23-05-2024,27.3,32.6,29.5,84,5.2,1,4,290,1,C 
24-05-2024,27,32.6,30.6,81,8888,1.5,3,40,2,E 
25-05-2024,25.6,29,27.2,90,7.5,4.1,4,70,1,E 
26-05-2024,25.3,33.4,30.6,81,4.1,0,4,20,1,N 
27-05-2024,26.3,34.8,32,74,-,1.5,3,30,1,E 
28-05-2024,26.8,34.2,31.5,78,-,4.6,3,10,2,N 
29-05-2024,26.9,34.2,31.9,76,8888,6.5,3,50,2,E 
30-05-2024,27.4,34.6,31.9,75,-,7.6,2,10,1,N 
31-05-2024,27.3,34.8,32,76,-,8.2,4,20,2,N 
01-06-2024,27.2,32.8,30.7,81,-,6.9,3,20,1,N 
02-06-2024,26.8,33.4,30.6,79,-,1.2,5,20,2,N 
03-06-2024,26.2,31.2,28.8,85,15.8,0.8,3,30,1,C 
04-06-2024,26,33.4,29.6,82,-,0,3,30,1,C 
05-06-2024,26.4,34.2,31.2,78,0.8,3.2,3,350,1,C 
06-06-2024,25.8,34.9,31.8,71,-,8.6,6,30,2,NE
07-06-2024,25.9,34.8,31.5,74,-,9,4,350,1,N 
08-06-2024,26,34.6,31.4,74,-,7.5,4,40,2,C 
09-06-2024,25.9,32,29,83,-,8.9,2,100,1,C 
10-06-2024,25.8,33.2,30.6,80,8.6,2.7,3,360,1,C 
11-06-2024,25.8,32.2,28.2,90,0.2,6.4,3,30,1,C 
12-06-2024,25.1,32.4,29.5,85,47.5,3.2,5,20,1,C 
13-06-2024,25.2,32.4,29.6,81,2.1,3.8,3,10,2,E 
14-06-2024,26.2,33.2,30.6,80,1.8,2.3,3,10,1,N 
15-06-2024,26.5,33.8,30.2,82,0.2,6.3,2,210,1,C 
16-06-2024,24.6,31,28.7,87,29.8,4.6,2,350,1,C 
17-06-2024,24.7,33.6,30.7,78,6,1.5,4,40,2,NE
18-06-2024,26.2,31.6,28.7,84,-,5,3,240,1,C 
19-06-2024,25.2,33.8,30.7,75,4.6,1.4,6,30,3,E 
20-06-2024,25.6,34.2,31,71,-,5.3,4,130,2,NE
21-06-2024,25.4,34.7,31.2,73,-,8.3,4,20,2,N 
22-06-2024,25.5,34.6,30.3,77,-,9.2,4,350,1,C 
23-06-2024,24.8,34.6,31.4,66,-,2.6,5,30,2,E 
24-06-2024,25.3,33.8,31.2,73,-,9,4,10,2,C 
25-06-2024,26.8,31.6,28.1,85,-,5.7,3,10,1,C 
26-06-2024,24.6,33.8,31,76,3.2,1.4,5,40,2,NE
27-06-2024,25.2,34.2,30.2,78,-,9.8,4,80,2,E 
28-06-2024,26.6,32,29.1,83,3,5.3,3,80,1,E 
29-06-2024,25.8,31,27.5,85,10,5.3,3,300,1,C 
30-06-2024,24.2,33.2,30.2,72,8888,2.4,3,40,2,NE
01-07-2024,24.3,32.4,30.1,75,-,9.3,5,350,1,C 
02-07-2024,25.8,31.4,28.5,80,-,5.1,3,40,1,C 
03-07-2024,24.7,33.4,29,77,21,2.3,3,340,1,C 
04-07-2024,22.9,32.4,28,83,45.8,5.8,2,300,1,C 
05-07-2024,24.2,31.6,28.5,77,10.5,3,5,100,2,E 
06-07-2024,24.3,29,24.6,92,7,3.8,5,60,2,E 
07-07-2024,22.8,30.8,27.6,78,108.5,0,3,20,1,C 
08-07-2024,-,33.6,-,-,-,-,3,350,1,N
