BULAN,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,TAHUN
1,24.233333333333334,31.91,27.153333333333332,81.35483870967742,7.076190476190476,2.541935483870968,4.838709677419355,247.09677419354838,5.935483870967742,2018
2,24.185185185185187,31.25925925925926,26.675,86.60714285714286,10.291304347826086,3.8607142857142853,3.9642857142857144,259.2857142857143,1.9285714285714286,2018
3,24.548387096774192,33.038709677419355,27.33225806451613,83.6,12.716666666666667,4.12258064516129,3.903225806451613,233.2258064516129,4.516129032258065,2018
4,24.666666666666668,33.02333333333333,27.9,81.26666666666667,16.866666666666667,3.9166666666666665,3.566666666666667,147.33333333333334,4.1,2018
5,25.677419354838708,33.167741935483875,28.52258064516129,76.09677419354838,15.739999999999998,4.232258064516128,3.4516129032258065,97.09677419354838,4.451612903225806,2018
6,25.333333333333332,32.233333333333334,28.083333333333332,76.33333333333333,8.844444444444443,3.0366666666666666,3.466666666666667,144.46666666666667,4.0,2018
7,24.0,32.89677419354839,27.59032258064516,69.48387096774194,1.5,5.551612903225807,3.3548387096774195,165.48387096774192,3.4838709677419355,2018
8,24.322580645161292,33.29032258064516,28.12258064516129,67.6774193548387,1.6666666666666667,5.338709677419355,3.3225806451612905,124.51612903225806,3.967741935483871,2018
9,24.833333333333332,33.94,28.466666666666665,65.33333333333333,11.22,5.803333333333333,3.9,121.5,5.133333333333334,2018
10,25.806451612903224,34.432258064516134,29.306451612903224,69.96774193548387,12.666666666666666,5.412903225806452,3.6129032258064515,152.58064516129033,4.387096774193548,2018
11,25.366666666666667,32.744827586206895,28.106896551724137,78.6896551724138,9.988235294117647,2.872413793103448,3.586206896551724,191.0344827586207,4.068965517241379,2018
12,24.655172413793103,32.668965517241375,27.979310344827585,80.3,14.121428571428572,4.496774193548387,4.290322580645161,206.1290322580645,2.161290322580645,2018
