TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-01-2023,23.2,28.6,25.5,94,6.8,0.4,5,260,2,SW
02-01-2023,23.7,30,26.6,89,5.3,2.1,5,240,2,SW
03-01-2023,23.6,28.2,24.9,92,3.3,1.4,4,250,2,SW
04-01-2023,23.4,29.8,25.3,94,3.4,0,3,110,1,S 
05-01-2023,23.2,31.6,26.5,88,56.4,0.9,4,270,2,SW
06-01-2023,24.6,33.4,28.6,80,-,3.4,6,290,4,SW
07-01-2023,25,33.8,28.9,82,-,8.9,7,290,3,W 
08-01-2023,24.8,32.2,27.5,84,-,9.2,6,300,3,W 
09-01-2023,25.4,33.6,28.8,82,-,4.1,6,230,3,W 
10-01-2023,25.2,34.2,29.2,79,-,6.5,5,270,3,W 
11-01-2023,24.4,33.6,28.6,79,0,4.6,4,230,2,W 
12-01-2023,24.8,34,28.9,82,-,2.8,3,30,1,C 
13-01-2023,25.3,33.6,28.3,84,-,8.4,4,350,2,SW
14-01-2023,25,34.4,28.8,84,0.1,3.6,3,240,1,S 
15-01-2023,24.6,34.2,28.7,81,1.2,6.6,4,230,2,W 
16-01-2023,24.8,33.2,27.5,86,-,7.3,5,230,2,SW
17-01-2023,24.4,33.4,26.9,88,14.5,4.9,4,340,2,N 
18-01-2023,24.4,30.8,26.7,89,0,0,6,310,1,W 
19-01-2023,23.6,30.5,27,88,6.9,0,5,290,2,W 
20-01-2023,24.6,33,27.5,86,-,2.3,4,250,2,SW
21-01-2023,24.4,32.6,28,84,-,2.5,6,220,2,W 
22-01-2023,25.1,33.4,28.4,83,-,5.7,5,220,3,SW
23-01-2023,24.8,32,28.1,81,-,8.2,6,220,3,W 
24-01-2023,25,33.4,28.1,83,-,4.9,7,240,4,SW
25-01-2023,24.4,29.2,26.3,86,-,5.2,7,290,3,W 
26-01-2023,24.6,31.6,27.4,86,8888,0,4,240,2,N 
27-01-2023,25.2,30.2,27.4,87,-,1.3,3,350,1,C 
28-01-2023,24.4,29,25.5,94,2.6,0,2,260,1,C 
29-01-2023,24.4,29.8,27,88,8.8,0,5,310,2,NW
30-01-2023,24.8,31.6,27.8,85,8888,0.3,5,310,2,NW
31-01-2023,25,30.6,26.8,87,-,3.1,3,350,1,NW
01-02-2023,24.2,29.8,26.2,92,11.6,1,4,210,2,SW
02-02-2023,24.1,30.2,27.4,89,3.3,0.2,3,290,1,C 
03-02-2023,22.8,30.8,26.1,89,9.6,0.1,4,280,1,SW
04-02-2023,23,30.6,27.6,87,8888,1.2,1,260,0,C 
05-02-2023,25,33.4,27.7,83,0.4,0,9,240,4,W 
06-02-2023,25,32.8,28.5,82,0.6,7.4,6,220,3,W 
07-02-2023,25.4,31,27.5,86,-,2.5,3,230,2,NW
08-02-2023,24,31.4,27.1,85,16.7,0.7,6,200,2,SW
09-02-2023,24.4,31,26.2,83,-,2.7,7,240,4,SW
10-02-2023,24.6,32.2,27.7,86,8888,1.7,6,260,3,NW
11-02-2023,23.4,29.2,25.8,92,48.3,5.2,4,300,1,C 
12-02-2023,23,28.2,24.2,96,62.9,0.7,4,270,2,SW
13-02-2023,23.1,30.4,26.3,90,2.2,0,7,240,3,SW
14-02-2023,23.8,30.6,26.5,87,1.9,3.1,7,210,4,W 
15-02-2023,24.7,30.4,26.7,88,8888,0.6,5,270,3,SW
16-02-2023,24.4,30.4,26.8,88,5.5,3.4,4,330,2,C 
17-02-2023,24.2,29.4,26,90,1.8,2.7,3,230,1,SW
18-02-2023,24.2,32.2,27.4,87,8888,0.7,5,310,2,N 
19-02-2023,24.8,32.4,27.6,88,1.4,5.5,4,280,2,NW
20-02-2023,24.2,32.4,27.3,84,-,7.6,6,270,3,W 
21-02-2023,24.9,30.4,26.4,91,8888,6.9,5,250,3,W 
22-02-2023,24.8,30.4,26.3,91,10.1,3.6,4,300,2,SW
23-02-2023,24.2,30,26.4,92,6.5,1.2,3,340,2,N 
24-02-2023,23.6,29.2,25.4,96,65,3.6,5,300,1,C 
25-02-2023,23.8,29.2,26,93,71.5,0,5,270,2,W 
26-02-2023,23.6,29.8,25.4,96,12.2,0.7,3,300,2,N 
27-02-2023,23,29.8,26.3,90,105,1.2,5,270,2,W 
28-02-2023,23.8,31.2,26.7,88,11.7,0.7,5,240,2,W 
01-03-2023,24,29.6,25.7,91,4.1,3.4,5,250,2,SW
02-03-2023,23.2,26.4,24.3,95,18.5,1.2,3,300,2,W 
03-03-2023,23,32,26.3,90,1.9,0,4,250,2,W 
04-03-2023,24,30.2,26.9,83,22.2,4.3,4,310,2,W 
05-03-2023,24,30.8,25.9,90,1.6,1.1,3,280,2,W 
06-03-2023,23.8,33.4,27.9,83,25.6,4.6,6,300,4,W 
07-03-2023,23.8,32.4,27.8,84,-,7.9,5,300,2,W 
08-03-2023,25,30.2,26.3,90,-,9.3,2,50,1,NW
09-03-2023,24.6,32.2,27.3,84,2,3.1,4,300,2,NW
10-03-2023,23.8,32,27,83,17.9,5.5,4,230,2,W 
11-03-2023,23.8,33.6,27.4,84,53.7,5.7,4,330,1,NW
12-03-2023,24.7,31.4,27.7,84,-,5.6,3,30,1,C 
13-03-2023,25,32.4,28,78,-,2.1,5,300,2,C 
14-03-2023,25.2,30.4,27.1,86,0.2,5.5,4,290,2,NW
15-03-2023,23.2,28.8,25.1,92,65,0.7,3,310,1,C 
