TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-01-2017,24,29,24.9,94,6,0.5,4,260,5,W 
02-01-2017,23,30.6,26.2,85,19,1.5,4,270,4,W 
03-01-2017,24,29.2,25,88,0.5,0.6,4,260,5,W 
04-01-2017,23,31,26.5,85,20,4.9,6,250,9,W 
05-01-2017,24,33,27.2,83,8888,6.9,8,260,7,W 
06-01-2017,23,32.6,27,85,8888,6.2,6,260,8,W 
07-01-2017,-,-,-,-,-,-,-,-,-,-
08-01-2017,-,-,-,-,-,-,-,-,-,-
09-01-2017,-,-,-,-,-,-,-,-,-,-
10-01-2017,23,33,-,-,-,-,3,180,1,S 
11-01-2017,-,-,-,-,-,-,-,-,-,-
12-01-2017,-,-,-,-,-,-,-,-,-,-
13-01-2017,-,-,-,-,-,-,-,-,-,-
14-01-2017,-,-,-,-,-,-,-,-,-,-
15-01-2017,-,-,-,-,-,-,-,-,-,-
16-01-2017,-,-,-,-,-,-,-,-,-,-
17-01-2017,-,-,-,-,-,-,-,-,-,-
18-01-2017,-,-,-,-,-,-,-,-,-,-
19-01-2017,-,-,-,-,-,-,-,-,-,-
20-01-2017,-,-,-,-,-,-,-,-,-,-
21-01-2017,-,-,-,-,-,-,-,-,-,-
22-01-2017,-,-,-,-,-,-,-,-,-,-
23-01-2017,-,-,-,-,-,-,-,-,-,-
24-01-2017,-,-,-,-,-,-,-,-,-,-
25-01-2017,-,-,-,-,-,-,-,-,-,-
26-01-2017,-,-,-,-,-,-,-,-,-,-
27-01-2017,-,-,-,-,-,-,-,-,-,-
28-01-2017,-,-,-,-,-,-,-,-,-,-
29-01-2017,-,-,-,-,-,-,-,-,-,-
30-01-2017,-,-,-,-,-,-,-,-,-,-
31-01-2017,-,-,-,-,-,-,-,-,-,-
01-02-2017,24,29,24.9,94,6,0.5,4,260,5,W 
02-02-2017,23,30.6,26.2,85,19,1.5,4,270,4,W 
03-02-2017,24,29.2,25,88,0.5,0.6,4,260,5,W 
04-02-2017,23,31,26.5,85,20,4.9,6,250,9,W 
05-02-2017,24,33,27.2,83,8888,6.9,8,20,7,W 
06-02-2017,23,32.6,27,85,8888,6.2,6,260,8,W 
07-02-2017,24,32,29.8,78,-,2.8,4,260,5,W 
08-02-2017,24,32,27.4,86,1.2,4.3,5,230,5,SW
09-02-2017,24,27.6,25.5,90,8888,0.2,4,220,4,SW
10-02-2017,24,28,25.3,93,34.5,0,4,260,4,W 
11-02-2017,23,27.8,25.4,92,8.5,0.1,4,270,5,W 
12-02-2017,24,29,26,91,29,1,4,270,5,W 
13-02-2017,24,31,26.6,84,15,7.1,5,280,6,NW
14-02-2017,22,30.6,26.1,89,39.5,1,3,260,4,W 
15-02-2017,21,32,26.5,84,15.7,7.3,5,260,6,W 
16-02-2017,24,30.2,26.7,84,2,4.4,4,270,4,SW
17-02-2017,24,32.2,27.1,82,13.5,5.7,4,270,5,W 
18-02-2017,25,30.4,26.7,86,-,1.3,3,270,4,W 
19-02-2017,25,29.6,26.3,93,7.3,0,3,270,3,SW
20-02-2017,25,27.2,25.8,93,17.8,0,-,4,-,N 
21-02-2017,20,30.2,25.5,90,73.8,2.1,3,260,4,W 
22-02-2017,24,34,27.2,84,9.4,7.2,4,270,2,SW
23-02-2017,24,33.4,26.5,88,2,5.1,3,250,6,W 
24-02-2017,24,31.8,26.8,85,31,3.5,3,270,3,SW
25-02-2017,25,33,27,83,-,3.1,5,230,5,E 
26-02-2017,24,33,27.7,81,41.6,6.9,4,170,4,W 
27-02-2017,24,32.2,27.5,84,3.4,4.5,4,270,4,E 
28-02-2017,26,33,28.2,80,-,1.7,4,270,2,SW
01-03-2017,25,32.6,27.1,84,-,3.8,3,260,4,W 
02-03-2017,24,33,25.8,92,-,6.3,4,260,5,W 
03-03-2017,25,33,27,89,33,6,5,270,5,W 
04-03-2017,24,32.8,26.7,85,30.7,5,5,240,4,SW
05-03-2017,24,34.2,27.4,83,1.5,7,3,230,3,NE
06-03-2017,24,33.2,27,87,-,2.6,4,250,2,W 
07-03-2017,24,31,25.8,90,18.8,2.6,4,240,2,W 
08-03-2017,24,32.8,27.6,82,30.5,1.7,3,270,1,SW
09-03-2017,24,33.4,27.6,80,-,5.2,3,280,1,N 
10-03-2017,24,32.6,26.9,84,-,3.2,4,40,1,N 
11-03-2017,24,33.2,27.9,82,-,6.2,4,270,1,N 
12-03-2017,25,-,28.5,75,-,7.7,4,260,2,SW
13-03-2017,24,34.8,28.7,72,-,6.1,5,240,2,SW
14-03-2017,24,33,28.7,73,-,7.9,4,250,1,N 
15-03-2017,25,34.4,29,71,-,2.1,5,240,3,SW
16-03-2017,24,32.6,28,80,-,6.1,3,60,1,N 
17-03-2017,24,33,27.5,85,-,3.5,3,240,1,N 
18-03-2017,24,30.6,26.7,84,57,0.2,5,240,2,W 
19-03-2017,25,33.8,27.5,80,3.6,0.2,3,240,2,W 
20-03-2017,25,31.4,26.4,88,-,6.5,3,230,2,SW
21-03-2017,24,32,27.4,85,23,2.6,4,220,1,N 
22-03-2017,24,30.6,26.7,88,37,2.9,4,260,1,N 
23-03-2017,24,28.4,-,-,39.5,1,0,0,0,N 
24-03-2017,24,-,-,-,8.9,0.3,3,290,1,N 
25-03-2017,25,30.8,27.4,87,-,0.7,3,140,1,N 
26-03-2017,26,32.6,26,92,2.1,0.8,3,240,1,N 
27-03-2017,-,33.6,-,-,29.5,7.1,3,260,2,N 
28-03-2017,24,-,-,-,8888,7.7,2,290,1,N 
29-03-2017,24,32.8,27.3,84,-,8.6,5,200,1,N 
30-03-2017,25,33,27.7,82,0.6,5.5,7,260,3,W 
31-03-2017,25,30.2,27,85,-,7.4,4,280,2,W 
01-04-2017,25,-,27,85,0,4.5,5,110,2,N 
02-04-2017,24,33.8,27.3,88,3.7,4.5,4,260,1,W 
03-04-2017,24,32.8,26.6,88,4.8,4.3,4,180,2,W 
04-04-2017,24,33.4,26.8,85,57,4.9,4,190,2,W 
05-04-2017,24,32,27.3,82,6,5.6,5,260,3,W 
06-04-2017,25,32.6,27.6,83,-,5.9,7,240,4,W 
07-04-2017,-,32,27.4,83,-,1.4,4,240,3,SW
08-04-2017,24,30.2,26.4,83,2,2,5,240,3,SW
09-04-2017,25,34.8,28.1,77,0,5.8,7,230,3,SW
10-04-2017,25,35.4,28.7,75,3.9,7,4,230,5,W 
11-04-2017,25,-,27.5,86,6,3.5,4,120,1,N 
12-04-2017,25,33.8,27.8,82,47.8,4,3,260,5,W 
13-04-2017,25,32,27.7,86,10.6,2.6,3,90,4,W 
14-04-2017,25,32.8,28.3,81,8888,5.1,3,80,4,E 
15-04-2017,25,32.8,27.8,80,0,4.9,3,180,4,S 
16-04-2017,25,32.4,27.4,80,2.8,1.8,4,260,4,W 
17-04-2017,24,34,28,79,0,4.3,3,180,3,E 
18-04-2017,24,33.4,27.5,84,0,4.1,3,130,3,S 
19-04-2017,25,33.4,26.9,84,0,4.7,3,170,3,W 
20-04-2017,24,33.4,28.1,78,17.8,4.4,4,70,4,NE
21-04-2017,9,24,28.8,65,48,0.5,-,6,-,-
22-04-2017,25,33,27.5,86,2.6,4.5,4,260,8,W 
23-04-2017,24,33.4,27.5,83,9.8,2.7,3,150,5,SE
24-04-2017,24,33.2,27.8,80,-,5.3,4,90,4,SE
25-04-2017,25,33.4,27.2,86,10,7.4,3,80,2,NE
26-04-2017,24,31.8,26.1,88,57.8,0.6,4,180,3,E 
27-04-2017,23,32.4,27.4,84,55.9,4.6,3,240,4,SW
28-04-2017,24,32.6,27.1,82,33,6.5,4,230,5,SW
29-04-2017,24,33,28.1,73,0,4.7,4,260,5,SW
30-04-2017,25,33.2,27.5,76,0.2,3.6,4,230,4,SW
01-05-2017,25,34.2,28.1,84,4.1,0.6,3,170,4,E 
02-05-2017,25,34,27.6,84,0.3,5.1,4,160,2,S 
03-05-2017,25,34,29,82,-,4.5,3,270,4,W 
04-05-2017,24,33,27,85,4.3,4,4,90,3,S 
05-05-2017,24,33.2,27.7,83,1.2,4,3,90,4,E 
06-05-2017,24,31.8,26.1,89,6.4,0.6,3,80,4,E 
07-05-2017,24,31.4,25.1,94,58,3.3,4,90,4,E 
08-05-2017,24,33,26.9,83,17,4.1,3,60,4,NE
09-05-2017,24,32,27.2,85,1.7,3.1,3,80,5,E 
10-05-2017,24,29.8,27.2,83,0.7,0.8,3,180,2,E 
11-05-2017,24,33,27.4,81,-,1.1,2,260,3,E 
12-05-2017,24,33.4,27.8,81,-,6.6,3,130,4,SE
13-05-2017,24,33.2,28.7,78,-,5.6,3,60,4,NE
14-05-2017,26,33.6,29.4,73,-,4.6,3,220,2,S 
15-05-2017,26,33.8,29.3,74,-,5.4,3,90,3,NE
16-05-2017,25,34,29.4,75,-,6.3,3,270,5,W 
17-05-2017,25,34,29.8,76,-,4.7,3,240,2,NE
18-05-2017,26,34,28.4,81,6,5,2,50,0,N 
19-05-2017,-,33.2,28.8,79,35.2,6.5,3,260,1,N 
20-05-2017,25,-,28.6,84,-,6.1,3,130,2,N 
21-05-2017,25,32.4,29,81,-,3,3,250,1,N 
22-05-2017,26,34.2,29.5,74,-,6.6,3,230,1,SE
23-05-2017,26,33.8,29.1,75,-,7.1,3,70,1,E 
24-05-2017,26,34,29.1,78,-,5.8,4,90,4,E 
25-05-2017,25,33.6,29.1,72,-,5.2,4,80,4,E 
26-05-2017,24,34.6,28.7,72,-,5.2,3,180,3,S 
27-05-2017,25,33.8,29.5,72,-,3.1,3,50,5,N 
28-05-2017,25,32.2,28.1,82,-,0.6,2,50,4,NE
29-05-2017,25,33,26.6,88,2,0.1,3,80,4,E 
30-05-2017,24,32.2,27.3,84,16.1,3.4,4,80,6,E 
31-05-2017,24,33.6,28.7,76,1.4,3.7,4,90,5,E 
01-06-2017,25,32,27.6,78,-,2.7,4,250,6,W 
02-06-2017,25,32,27.7,80,0.2,0.4,3,90,4,E 
03-06-2017,24,33,28.2,79,-,2.9,3,170,4,S 
04-06-2017,25,33.6,28.3,79,-,3.6,3,230,4,SW
05-06-2017,25,32.8,28.2,80,1.6,5.1,2,130,3,SE
06-06-2017,24,33,27.9,78,33,7.1,3,80,3,E 
07-06-2017,26,33.8,29,78,-,5.7,3,80,5,E 
08-06-2017,25,33.4,28.4,74,-,7.3,5,90,4,E 
09-06-2017,25,34.4,28.9,74,-,6.5,4,90,5,E 
10-06-2017,25,34,28.7,78,-,5.3,3,170,3,W 
11-06-2017,24,32.2,27.5,80,-,1.8,3,40,4,NE
12-06-2017,23,33.4,29,76,0.7,5.1,5,40,5,NE
13-06-2017,26,34,27.7,80,-,4.5,3,180,4,S 
