BULAN,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,TAHUN
1,24.519354838709678,31.919354838709676,27.467741935483872,85.64516129032258,8.407692307692308,3.5032258064516126,4.709677419354839,258.7096774193548,2.129032258064516,2023
2,24.071428571428573,30.67142857142857,26.625,88.89285714285714,22.41,2.317857142857143,4.75,264.64285714285717,2.1785714285714284,2023
3,24.42258064516129,31.95483870967742,27.364516129032257,83.87096774193549,13.810526315789472,4.270967741935484,4.032258064516129,230.96774193548387,1.7419354838709677,2023
4,24.953333333333333,33.940000000000005,28.796666666666667,77.43333333333334,6.383333333333334,5.54,4.366666666666666,197.66666666666666,2.1,2023
5,25.57741935483871,33.74193548387097,29.358064516129033,82.12903225806451,7.566666666666666,4.551612903225807,3.7419354838709675,85.80645161290323,1.6129032258064515,2023
6,24.903333333333332,33.28666666666667,28.803333333333335,82.5,8.326666666666666,5.233333333333333,3.3,142.0,1.3666666666666667,2023
7,24.8,33.222580645161294,28.241935483870968,80.58064516129032,6.6875,5.216129032258064,3.6774193548387095,110.0,1.6451612903225807,2023
8,24.63225806451613,34.13870967741936,28.53548387096774,76.58064516129032,1.7999999999999998,7.070967741935483,4.612903225806452,129.3548387096774,1.903225806451613,2023
9,24.513333333333332,35.1,29.033333333333335,72.83333333333333,15.2,7.4,4.933333333333334,91.33333333333333,2.1666666666666665,2023
10,25.833333333333332,36.00333333333333,30.363333333333333,71.43333333333334,4.466666666666667,8.02,4.7,102.66666666666667,2.066666666666667,2023
11,25.34333333333333,34.32666666666667,30.796666666666667,72.33333333333333,16.20714285714286,5.013333333333334,3.966666666666667,133.66666666666666,1.6666666666666667,2023
12,24.783870967741933,33.829032258064515,30.458064516129035,72.16129032258064,14.766666666666667,5.087096774193548,3.193548387096774,195.80645161290323,1.2903225806451613,2023
