BULAN,TAVG,RH_AVG,RR,SS,TAHUN
1,27.55483870967742,82.3225806451613,6.226086956521739,4.441935483870967,2022
2,27.107142857142858,83.85714285714286,8.455,3.0357142857142856,2022
3,27.503333333333334,83.25806451612904,11.904347826086957,3.693548387096774,2022
4,27.720000000000002,82.46666666666667,10.27142857142857,5.2,2022
5,28.016129032258064,82.38709677419355,11.905,4.309677419354839,2022
6,27.040000000000003,84.06666666666666,15.18421052631579,4.023333333333333,2022
7,28.22258064516129,80.80645161290323,15.209999999999999,5.403225806451613,2022
8,28.274193548387096,83.06451612903226,14.469999999999999,6.041935483870968,2022
9,27.596666666666668,84.73333333333333,17.141176470588235,4.48,2022
10,27.470967741935485,86.09677419354838,16.541176470588233,3.583870967741935,2022
11,27.486666666666668,85.8,20.44705882352941,3.1533333333333333,2022
12,27.03548387096774,87.19354838709677,17.76842105263158,2.9935483870967743,2022
