BULAN,TAVG,RH_AVG,RR,SS,TAHUN
1,-1.021546587320612,1.2560909046516238,0.8925521140056222,-1.2838140095554138,2020
2,-1.343373020614453,1.3808960564627881,1.4752707673958392,-1.754549883521472,2020
3,-0.4899794544124579,0.8188386997926416,0.2607967527913411,-0.6282037910829248,2020
4,-0.044979264854316324,0.6114682169472166,0.5513806898861779,0.2760090514493414,2020
5,0.43203532683031065,0.19501029233676484,-0.15298797634662897,-0.14739811636461408,2020
6,0.5782771157440918,-0.5003580701025845,-1.235965421437504,0.2269035106399317,2020
7,0.18129852937568047,-0.9095666126080459,-1.2131520333936552,0.7583055964768571,2020
8,0.3403637422584721,-0.938182594601434,-0.9380744028835571,1.8121645462954816,2020
9,2.658444908314574,-2.304118801752529,-0.0396832316968189,1.3187796533432607,2020
10,-0.35353989334976305,-0.024552333139781796,1.9007190197930652,0.28160563882100154,2020
11,0.08313655165549155,0.007705682925491299,-0.6743963858900939,0.1541642870880272,2020
12,-1.020137953627048,0.4067685590878413,-0.8264598922237911,-1.0139664835894775,2020
1,-2.01935020271105,1.6231333202572535,0.0555966796840001,-2.1676237167106733,2021
2,-1.6448406372631281,1.6246005736137403,1.459587691347344,-0.9150737153602068,2021
3,-0.42912758278780705,0.4306920712198428,-1.3499254017848656,-0.08543517869012902,2021
4,0.3441571421944822,-0.19206449718423257,0.04070252267881564,0.9296366471981947,2021
5,0.6669757654227253,0.12690837931541452,1.2854285009692579,0.8894237177212264,2021
6,-0.6162125968964217,1.0359385269920764,1.331851847478924,-0.4293874102868775,2021
7,0.3524819777505094,-1.040260542212121,-1.022540029918199,1.0356525521829296,2021
8,0.3154827086125968,-1.1281979267107696,-0.43691837677316253,1.067335466316299,2021
9,0.9778563432182011,-1.4237374888184495,-1.5270525750747255,1.0284934321624088,2021
10,0.7524619800034604,-0.7256458528034624,-0.7754364887277385,0.24065512215947,2021
11,-0.2154568035163807,0.30917859445807,0.5247626253473207,-0.6976465656364607,2021
12,1.5155719059728179,-0.6405451581273481,0.41394300477302903,-0.8960303510561711,2021
1,-0.07660676535208213,-0.8574156921972358,-1.909222532037975,0.2614066047848588,2022
2,-1.1891114414403008,0.010981735911010298,-1.3468901166819836,-1.2374013641725297,2022
3,-0.2045953801719056,-0.32803227506217747,-0.47665424089406677,-0.5362549195758813,2022
4,0.3338118408342527,-0.7758784762247115,-0.888623398345099,1.0693827178226785,2022
5,1.0696795761448892,-0.8209064910155087,-0.4764897039540428,0.12044055953145244,2022
6,-1.3559585143235209,0.12954971308214183,0.350822236778442,-0.1847566587692157,2022
7,1.582702833877801,-1.7153819199678457,0.3573286624418543,1.2859890800413276,2022
8,1.7109586483110268,-0.43755987860736667,0.17063408116107848,1.9667519327285112,2022
9,0.027333884261515357,0.5068114586266681,0.8445451253550394,0.3019773202480353,2022
10,-0.2850224638060729,1.278372576933853,0.6931711405327885,-0.6531535912494384,2022
11,-0.24601132024929967,1.1104302514979036,1.6785861005521454,-1.1120381808385766,2022
12,-1.3671808980864357,1.8990289970232288,1.00279264509182,-1.282343500551229,2022
1,-1.089712207508972,1.1969988221588306,-0.36893979190230236,-1.1382304239199537,2023
2,-1.7686594989470208,1.7704592091478752,2.0968810629522334,-1.902452748189277,2023
3,-1.1728751293310504,0.8837214202563387,0.5825048603104264,-0.6432573877715643,2023
4,-0.019076217093299798,-0.25300088591955666,-0.7254314992962586,0.1749039249207723,2023
5,0.4332087983578077,0.5761399711157076,-0.5170452764180943,-0.46232186615429627,2023
6,-0.013705278392289837,0.6416434278771387,-0.3832084910202873,-0.02280799372001268,2023
7,-0.46599029384339735,0.30273423854625914,-0.6718674349648995,-0.03389982646283394,2023
8,-0.22949573491186717,-0.4035639039248166,-1.5325612357961917,1.1619383911225591,2023
9,0.17159210679252515,-1.0652437497612954,0.8271926120072481,1.374069692329012,2023
10,1.2430943776438432,-1.3124480996261703,-1.0629584800144123,1.7737916147984247,2023
11,1.5922053932094362,-1.1535310175701798,1.0045515099498312,-0.16464480491883654,2023
12,1.3194136840243136,-1.1839094323001185,0.7508821641927094,-0.11708857203399166,2023
1,-0.3013300016213132,0.5101316084936174,0.011755736594677357,-0.738871756460124,2024
2,0.1627151734655959,1.0280050780975554,-0.324847948114658,-0.8655426340879001,2024
3,-0.202560753345935,1.2155256189754429,-0.15170138724907115,-0.8905281741704432,2024
4,1.0255878159830312,0.9087612469752051,0.47585282610354607,-0.48086861620726074,2024
5,2.069131956987779,-0.1870601460523696,2.4996112402193664,-0.06484323330315142,2024
6,1.0182977048007997,0.2307080896128341,-0.6848642433565522,0.07052416176420798,2024
7,-0.9245169252635838,-1.0321659159745868,0.15754067955918377,1.1210725071624796,2024
8,-0.5023959713247623,-1.7044774941818748,-1.3960126140123474,1.4741885612386048,2024
9,-0.2866321968184273,-1.0491172449086452,-1.3944688163692238,1.1849179867170705,2024
10,0.6334503838420926,-1.4173985364276451,0.3834490954159245,1.361850474045776,2024
11,-0.9864828703125434,0.5358320104259028,-0.409763896768141,-0.5273016922469629,2024
12,-1.7052643163927643,0.9612556849645529,0.8334493279772948,-1.6445975844523069,2024
