BULAN,TAVG,RH_AVG,RR,SS,TAHUN
1,28.903225806451612,80.03225806451613,21.525,3.990322580645161,2024
2,29.32758620689655,82.06896551724138,11.8,3.8448275862068964,2024
3,28.993548387096773,82.80645161290323,19.434782608695652,3.8161290322580643,2024
4,30.116666666666667,81.6,19.86315789473684,4.286666666666666,2024
5,31.070967741935487,77.29032258064517,8.142857142857142,4.764516129032257,2024
6,30.11,78.93333333333334,9.542857142857144,4.92,2024
7,28.333333333333332,73.96666666666667,33.800000000000004,6.126666666666667,2024
8,28.719354838709677,71.3225806451613,12.833333333333334,6.532258064516129,2024
9,28.916666666666668,73.9,14.11111111111111,6.2,2024
10,29.758064516129032,72.45161290322581,5.2,6.403225806451613,2024
11,28.276666666666664,80.13333333333334,23.25,4.233333333333333,2024
12,27.61935483870968,81.80645161290323,8.157894736842104,2.9499999999999997,2024
