BULAN,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,TAHUN
1,24.03548387096774,30.335483870967742,26.55806451612903,86.58064516129032,12.02,2.232258064516129,3.870967741935484,253.2258064516129,1.8064516129032258,2021
2,24.01851851851852,30.306896551724137,26.803448275862067,86.58620689655173,18.618518518518517,3.7896551724137932,4.241379310344827,244.82758620689654,1.7586206896551724,2021
3,24.371875,32.27878787878788,27.599999999999998,82.06060606060606,5.414285714285715,4.821212121212121,3.8181818181818183,208.78787878787878,1.4848484848484849,2021
4,24.482142857142858,32.54,28.10666666666667,79.7,11.950000000000001,6.083333333333333,3.433333333333333,154.0,1.3333333333333333,2021
5,24.84193548387097,32.75454545454546,28.318181818181817,80.9090909090909,17.8,6.033333333333333,3.242424242424242,108.18181818181819,1.4848484848484849,2021
6,24.46551724137931,32.10967741935484,27.47741935483871,84.35483870967742,18.018181818181816,4.393548387096774,3.096774193548387,140.0,1.0,2021
7,23.96363636363636,33.166666666666664,28.112121212121213,76.48484848484848,6.952941176470588,6.215151515151515,3.242424242424242,110.3030303030303,1.2121212121212122,2021
8,24.527272727272727,33.27878787878788,28.087878787878786,76.15151515151516,9.705263157894738,6.254545454545455,3.515151515151515,126.36363636363636,1.4848484848484849,2021
9,24.94375,33.375,28.521875,75.03125,4.581818181818182,6.20625,3.40625,108.75,1.46875,2021
10,24.70967741935484,33.354838709677416,28.374193548387098,77.6774193548387,8.114285714285714,5.2266666666666675,3.064516129032258,142.90322580645162,1.2903225806451613,2021
11,24.506666666666668,32.54666666666667,27.740000000000002,81.6,14.225,4.06,4.033333333333333,213.33333333333334,1.8,2021
12,24.310714285714287,32.29032258064516,28.874193548387098,78.0,13.704166666666666,3.8133333333333335,3.7096774193548385,206.4516129032258,1.2903225806451613,2021
