TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-01-2020,22.6,27,24.6,98,208.9,4.3,2,230,1,C 
02-01-2020,23.2,30.1,26.6,90,43.9,0,4,280,2,W 
03-01-2020,-,30.4,27.7,86,1.3,6,4,300,3,W 
04-01-2020,25,30.5,27.4,88,1,2.4,4,250,2,W 
05-01-2020,24.8,28.8,27.3,88,0.2,0.5,3,300,1,C 
06-01-2020,-,33.8,26.1,92,22.5,0.3,4,310,1,C 
07-01-2020,23.4,31.2,26.9,90,2.2,0.5,4,240,2,W 
08-01-2020,24.1,29.3,26.5,91,18,4.3,2,260,0,C 
09-01-2020,24.4,28.4,26.6,92,7.5,1.3,4,260,2,W 
10-01-2020,22.8,28,24.8,96,15.2,0,4,270,2,W 
11-01-2020,22.8,30,26.5,87,1.1,-,5,220,3,W 
12-01-2020,23.6,31.7,27.9,81,-,2.2,4,260,2,W 
13-01-2020,24.8,30.9,28,83,1.2,6.9,4,270,2,W 
14-01-2020,25,33.1,28.6,78,8888,2.7,5,250,2,W 
15-01-2020,24.2,36.4,27.2,86,6.5,8.1,3,310,2,C 
16-01-2020,24.2,32.6,27.7,83,0,4.2,4,250,2,C 
17-01-2020,25,31.8,28.4,82,3,6.6,5,240,2,C 
18-01-2020,23.3,30.6,26.6,88,74,6.5,2,250,1,C 
19-01-2020,23.4,-,28.1,82,0.1,2.8,4,280,2,C 
20-01-2020,26.2,31.8,28.4,83,-,7.7,4,310,1,C 
21-01-2020,25,31.6,28.1,84,2.5,1.8,6,320,2,C 
22-01-2020,25.2,30.8,28.1,87,8888,3.2,4,230,1,C 
23-01-2020,26,32.2,28.3,85,1,1.6,3,100,1,C 
24-01-2020,25.8,31.4,-,-,3.9,5.1,2,210,0,C 
25-01-2020,24.8,29,26.6,92,4.3,0,4,270,2,SW
26-01-2020,24.6,32.4,27.9,84,1.2,0.2,4,270,2,C 
27-01-2020,24.4,31.8,27.8,83,12.5,5.9,4,170,1,C 
28-01-2020,25.2,32.4,28.7,81,0.2,4.6,3,190,1,C 
29-01-2020,25.8,33.4,29.2,79,8888,5.2,4,240,2,C 
30-01-2020,23.5,33.2,27.2,83,1.5,6.3,3,270,2,C 
31-01-2020,24,29.2,27.1,90,1.3,2.2,5,240,2,C 
01-02-2020,22.8,28.3,25.2,97,61.3,0,2,110,1,C 
02-02-2020,23.8,33.8,26,91,24.6,0.9,3,260,0,C 
03-02-2020,23.3,28.1,25.8,94,11.9,0,3,280,1,C 
04-02-2020,24.4,29.4,26.4,90,4.7,0,5,240,2,W 
05-02-2020,25.4,31.2,27,90,0.8,2,6,260,2,W 
06-02-2020,24.4,27.7,26.2,93,26.4,2.2,4,250,1,W 
07-02-2020,24.8,33.2,26.7,90,0.2,0,5,180,2,C 
08-02-2020,23.8,30.4,26.6,88,27.5,2,4,270,2,C 
09-02-2020,23,30,26,87,11,5.4,4,260,2,W 
10-02-2020,24.4,33.2,28.1,78,4.5,1.1,5,250,3,W 
11-02-2020,25.8,33.2,29,78,-,7.3,4,160,2,W 
12-02-2020,25.8,33,28.8,77,-,5.7,4,110,2,E 
13-02-2020,26.3,31.7,28.8,80,-,5.4,4,280,2,W 
14-02-2020,26,29.3,27.4,87,-,2.8,4,250,1,C 
15-02-2020,25.2,32.8,27.6,84,2.8,2.9,4,290,2,C 
16-02-2020,25,31,26.5,88,8888,6.1,4,280,2,SW
17-02-2020,23.8,31,26.3,91,13.8,2.1,3,240,0,C 
18-02-2020,23.8,30,26.5,87,21.5,0.2,4,270,2,W 
19-02-2020,24.2,29.5,26.8,86,-,3.7,5,280,2,W 
