TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-01-2022,24.8,32.3,28.2,80,0.7,5.1,5,230,3,SW
02-01-2022,25.2,32.6,27.9,82,0,8.5,5,240,2,SW
03-01-2022,23.6,34.6,28.9,79,-,3.2,4,240,2,SW
04-01-2022,24.2,33.4,28.2,74,-,9.1,3,160,1,C 
05-01-2022,24.4,32.6,28.5,76,0,5.1,3,240,1,C 
06-01-2022,25.8,34.4,28.7,80,3,5.7,5,240,1,C 
07-01-2022,24.8,34.8,28.6,78,0.8,4.8,4,230,2,SW
08-01-2022,24.8,33.3,28.4,77,1.3,8.4,4,220,2,SW
09-01-2022,25.6,32,28,83,8888,8.9,3,210,2,SW
10-01-2022,25.2,32.4,27.8,84,1,1.6,4,260,2,SW
11-01-2022,24.2,32.6,25.6,92,8,2.3,6,220,1,C 
12-01-2022,23.6,29.6,25.9,91,27.2,2.5,4,190,2,C 
13-01-2022,23.4,30,26.5,86,29,2.4,5,240,2,C 
14-01-2022,23.4,29.6,26.7,86,6.5,2.5,3,220,1,C 
15-01-2022,24,29.2,26.5,86,0.8,0.7,5,240,2,SW
16-01-2022,24.2,30.6,27,86,-,0.9,3,230,1,C 
17-01-2022,24.2,31.6,27.7,83,-,0,4,200,2,SW
18-01-2022,24.6,29,26.4,88,3,4.1,3,150,1,S 
19-01-2022,24.4,30.6,27.4,84,1.5,0,4,210,2,SW
20-01-2022,23.6,29.4,25.5,89,6.5,6.2,4,210,2,SW
21-01-2022,23,31,26.5,84,6,0.7,4,230,2,C 
22-01-2022,23,31.3,26.9,85,1.9,6.7,3,240,1,C 
23-01-2022,23.8,33.9,28.8,78,7.5,4.6,5,250,2,SW
24-01-2022,25,34.6,28.8,74,-,9.8,5,240,3,SW
25-01-2022,26,33,29.1,76,0,9.3,5,240,3,SW
26-01-2022,24.8,31.2,27.4,84,3.8,6.7,3,240,1,S 
27-01-2022,24.8,33,28.4,78,1.5,1.7,6,230,2,SW
28-01-2022,24.8,33.4,27.3,85,0,8.1,5,240,2,SW
29-01-2022,24.2,32,27.2,84,33.2,3.2,2,180,1,S 
30-01-2022,24.2,32.4,27.5,82,-,3,3,230,1,C 
31-01-2022,25.2,32.2,27.9,78,8888,1.9,3,180,1,C 
01-02-2022,25.2,32.8,28.3,80,8888,6.5,2,220,1,C 
02-02-2022,24.9,32.4,28.3,79,0.8,5.5,3,190,1,C 
03-02-2022,25,32,28.4,76,-,3.8,4,230,1,C 
04-02-2022,24.4,31.6,26.8,86,44.3,5.7,4,230,1,C 
05-02-2022,23.8,29.8,25.8,90,4.3,5,4,240,2,SW
06-02-2022,23.8,30.8,26.9,84,8,0.4,4,220,2,SW
07-02-2022,24,31.4,27.6,84,8.4,1.7,4,180,1,C 
08-02-2022,25.6,29.6,26.2,90,8888,5.9,2,70,0,C 
09-02-2022,24.6,31.4,27,83,15.8,0,4,230,2,SW
10-02-2022,23.6,31.4,26.8,84,1,4.3,5,250,3,SW
11-02-2022,24,30.8,26.9,81,-,1.1,3,220,1,SW
12-02-2022,24.2,30.5,27.6,84,7.5,1.5,2,220,1,C 
13-02-2022,25,30.4,26.3,87,8888,0.3,2,230,1,C 
14-02-2022,24.2,30.4,26,88,33.2,0,2,160,0,C 
15-02-2022,24,33.6,27.3,84,2.2,0,3,120,1,C 
16-02-2022,24.2,33,27.7,81,5.8,2.5,4,40,2,C 
17-02-2022,24,31.4,26.1,88,11,6.6,2,50,1,C 
18-02-2022,25,29.6,26.6,88,2.5,3.6,3,30,1,SE
19-02-2022,24.4,30.8,27,86,1.1,0.2,2,50,1,C 
20-02-2022,24.5,31.1,27,87,6,1.4,3,90,1,C 
21-02-2022,24,33.2,28,78,8888,1.9,3,210,1,C 
22-02-2022,24.2,33.4,28.7,77,7.4,5.2,4,240,2,SW
23-02-2022,24.4,34.8,28,83,-,7.3,3,190,2,S 
24-02-2022,23.4,33,27.8,74,0.5,2,4,220,3,SW
25-02-2022,23.6,30.2,26.5,84,8888,4.1,4,190,2,SW
26-02-2022,23.6,31,26,91,3,0.8,3,170,1,C 
27-02-2022,23.8,30.4,26.2,86,5.5,2.5,4,190,2,SW
28-02-2022,24.8,30,27.2,85,0.8,5.2,4,200,2,SW
01-03-2022,23.4,29.2,25.6,90,39,2.5,4,160,2,S 
02-03-2022,23.2,31.8,26.9,86,3.7,0.1,4,210,2,SW
03-03-2022,23.2,33.6,27.7,81,8888,6.3,4,220,2,SW
04-03-2022,24.2,31.6,27.9,83,10.5,5.9,3,240,1,SW
05-03-2022,24.4,33,26.4,82,0,1.9,3,220,2,SW
06-03-2022,24.8,-,26.9,84,1,2.3,6,230,3,SW
07-03-2022,24.6,32.4,27.8,80,1.2,4.9,3,220,2,SW
08-03-2022,24.8,33.2,27.7,80,8888,1.1,4,210,1,C 
09-03-2022,25,32.6,27.4,83,0.6,2.9,2,110,1,C 
10-03-2022,24.8,-,27.5,83,0,3.3,5,180,1,S 
11-03-2022,24.6,32.4,27,90,4.6,3.7,6,210,2,C 
12-03-2022,24.6,31,27,90,28,5.3,4,200,2,S 
13-03-2022,24.7,32.3,27.4,89,28,4,3,180,1,C 
14-03-2022,24.8,33.8,27.8,82,17,5.5,2,180,1,C 
15-03-2022,25.4,31.1,27,87,7.8,6.6,4,210,1,C 
16-03-2022,23.6,32.2,27.2,86,35.8,0,2,70,1,C 
17-03-2022,25.6,30.8,26.1,94,8888,5.3,3,180,1,C 
18-03-2022,24.4,32.2,27.3,87,73.5,3.6,3,220,1,C 
19-03-2022,24.8,32.6,28.1,81,4.2,1.3,4,220,3,SW
20-03-2022,24.8,34.3,28.2,75,-,3,6,230,3,SW
21-03-2022,25,32.6,28.7,74,0,7.7,5,230,4,SW
22-03-2022,25.4,32.4,28.5,77,-,4.9,3,230,2,SW
23-03-2022,25,32.4,27.1,83,-,3.3,4,200,2,SW
24-03-2022,24,33.4,28.2,81,-,2,3,200,2,S 
25-03-2022,24,33.4,28.8,78,0,8.3,2,60,1,C 
26-03-2022,-,-,-,89,-,1.1,2,230,0,C 
27-03-2022,23.8,32.6,27.1,84,8.5,0,5,1,2,SW
28-03-2022,23.8,32.4,27.4,84,6.4,6.1,3,170,1,C 
29-03-2022,24,32.4,28,78,4,6.7,3,220,1,C 
30-03-2022,24.6,32.6,28.4,76,0,4.1,3,130,1,C 
31-03-2022,24.6,33,28,84,0,0.8,3,240,1,SW
01-04-2022,24.8,31.2,27.7,82,15,4.1,3,230,1,C 
02-04-2022,25.2,33.4,27.7,81,0.4,0,4,210,2,SW
03-04-2022,25.4,33.4,26.1,85,8888,5.9,4,220,2,S 
04-04-2022,24.6,34.2,28.6,77,2.1,4.1,3,220,2,SW
05-04-2022,24.8,34.2,27.3,82,-,7.9,2,50,1,C 
06-04-2022,23.4,34.2,27.5,80,38.7,3.5,5,230,2,C 
07-04-2022,24.6,34,28,80,8888,9.3,2,220,1,C 
08-04-2022,24.2,33.4,27.2,82,9,5.4,4,190,1,C 
09-04-2022,24,33.4,27.9,80,14.7,5,3,70,1,C 
10-04-2022,25.3,33.1,28.3,78,-,6.2,2,230,0,C 
11-04-2022,25.6,33.4,28.2,80,0.4,5.7,2,140,1,C 
12-04-2022,25,32.8,27.4,85,12.1,4.2,3,180,1,C 
13-04-2022,25.2,33.2,28.5,81,2.1,4.1,3,30,1,C 
14-04-2022,24,33,28.2,79,1.3,7.4,3,90,2,E 
15-04-2022,24.2,33.4,28.9,78,0,7.1,4,140,1,C 
16-04-2022,25.1,33.4,28.5,78,-,6.8,2,50,1,C 
17-04-2022,25.6,32.8,29,80,-,6.2,4,50,2,NE
18-04-2022,26.4,33.4,28.7,84,2.6,6.2,2,80,1,C 
19-04-2022,24.6,32.6,27.3,86,3.2,5.4,4,180,1,S 
20-04-2022,24.4,32.6,27.8,83,18.3,5.2,4,230,2,SW
21-04-2022,25.2,29,26.4,89,1,6.2,4,200,1,C 
22-04-2022,24.8,31,25.5,95,2.2,0.2,3,190,1,SE
23-04-2022,24.6,32.2,27.5,85,39.7,0.9,2,80,1,C 
24-04-2022,23.9,33.7,28.7,77,0.4,5.9,2,140,1,C 
25-04-2022,25.4,34.6,28.4,81,8888,6.8,3,120,1,C 
26-04-2022,24.6,34.6,28.3,83,30.8,8.1,3,210,2,SW
27-04-2022,24.7,31.4,27.1,85,0,8.1,3,220,1,C 
28-04-2022,23.4,31.4,26.6,85,21.7,1.3,4,230,2,SW
29-04-2022,23.4,33,28.2,83,8888,2.5,3,210,2,SW
30-04-2022,25.2,31.8,26.1,90,-,6.3,4,190,1,C 
01-05-2022,24,32.4,28.3,84,37.7,2.6,3,70,1,NE
02-05-2022,24.4,32.4,27.2,87,0.2,3.4,2,70,1,E 
03-05-2022,23.8,33,28.1,81,32.3,3.8,3,110,1,S 
04-05-2022,23.6,33.2,28.5,84,0,4.8,3,90,2,S 
05-05-2022,23.8,33.6,28.6,77,-,3.3,3,40,1,NE
06-05-2022,23.7,33.8,29.7,76,-,7.1,3,50,2,NE
07-05-2022,26.4,33.1,28.7,81,-,8.5,3,40,1,C 
08-05-2022,25.3,34.9,29.3,76,-,5.1,4,150,2,SE
09-05-2022,25.6,33.6,29.1,78,-,9.3,3,50,2,NE
10-05-2022,25.2,34.8,29.9,75,0.8,2.3,3,30,1,E 
11-05-2022,24.6,32.6,28,84,4.2,5.5,2,140,1,C 
12-05-2022,25.2,33.6,29,79,-,3.5,4,150,2,SE
13-05-2022,25.6,34.2,29.3,76,-,5.5,3,80,1,E 
14-05-2022,25.6,34.2,28.6,82,-,7.9,3,20,1,C 
15-05-2022,25.7,33.7,28.2,83,2.5,3,3,20,1,NE
16-05-2022,24.5,33.5,27.7,84,10.7,6.1,6,40,1,NE
17-05-2022,25,32.4,28.7,84,30.8,5.8,2,10,1,N 
18-05-2022,25.4,33,27.3,87,0.3,2.5,5,120,1,E 
19-05-2022,24.4,32,27.2,88,43.2,5.1,2,80,1,C 
20-05-2022,24.6,31.6,26.9,87,4.2,3,5,10,1,C 
21-05-2022,24.2,31.5,27.3,84,5.5,3.2,2,40,0,C 
22-05-2022,24.8,31.2,27.7,81,8888,2.1,2,10,1,C 
23-05-2022,25.4,33,28.7,79,-,0.4,6,60,2,E 
24-05-2022,25.4,33.6,29.4,78,0,5.8,5,100,2,E 
25-05-2022,26,32.4,27.4,85,0,7.8,3,70,1,C 
26-05-2022,24.2,30.4,27.2,84,1.9,2.1,2,120,1,E 
27-05-2022,24.4,33.4,28.4,82,-,0.6,3,60,1,C 
28-05-2022,22.7,28.2,25.1,90,37.5,7.1,0,0,0,C 
29-05-2022,22.6,-,26.7,85,26,0.4,3,240,1,C 
30-05-2022,23,30.5,26.2,87,0.1,5.1,3,270,1,C 
31-05-2022,22.8,32,26.1,86,0.2,0.9,4,290,2,C 
01-06-2022,23.1,33,27.4,83,11.5,4.7,3,260,1,W 
02-06-2022,23.6,32.8,27.5,86,-,7.6,3,270,1,C 
03-06-2022,24.2,32.4,27.4,82,24.3,5.8,2,180,0,C 
04-06-2022,24.6,33.2,28.1,80,0,8,4,30,1,C 
05-06-2022,24.7,32.9,27.1,83,-,6.4,3,10,1,C 
06-06-2022,24,31.6,25.9,88,10.9,5.5,4,80,1,C 
07-06-2022,23.4,32.6,27,84,23.3,0.9,3,80,1,E 
08-06-2022,24,31.6,27,86,8888,4.9,3,30,0,C 
09-06-2022,24.4,31.2,24.9,94,1.2,2.5,2,270,0,C 
10-06-2022,23,33.4,27.3,82,23,0,3,40,1,C 
11-06-2022,25.2,30.5,27.2,89,1,7.6,2,60,1,C 
12-06-2022,24,31.8,26.3,89,12,2.7,4,150,1,C 
13-06-2022,24,31,25.6,91,68.3,5.6,2,290,0,C 
