BULAN,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,TAHUN
1,23.428571428571427,31.2,26.133333333333336,86.66666666666667,11.375,3.4333333333333336,5.0,248.57142857142858,5.571428571428571,2017
2,23.75,30.914285714285715,26.585714285714285,86.42857142857143,18.604761904761904,3.210714285714286,4.222222222222222,239.42857142857142,4.7407407407407405,2017
3,24.366666666666667,32.47857142857143,27.307407407407407,83.29629629629629,22.55,4.338709677419355,3.7096774193548385,227.41935483870967,1.903225806451613,2017
4,23.93103448275862,32.67857142857143,27.506666666666668,81.73333333333333,14.603846153846153,4.19,3.9655172413793105,181.53333333333333,3.5517241379310347,2017
5,24.766666666666666,33.2,28.200000000000003,80.25806451612904,11.028571428571428,4.058064516129032,3.129032258064516,136.4516129032258,3.225806451612903,2017
6,24.555555555555557,33.00416666666667,27.85,78.76666666666667,8.223076923076922,4.720689655172414,3.4,114.66666666666667,3.5,2017
7,24.129032258064516,32.94193548387097,27.75483870967742,77.2258064516129,13.01,4.412903225806452,3.161290322580645,136.0,3.6451612903225805,2017
8,24.129032258064516,33.599999999999994,28.183870967741935,70.0,3.16,5.235483870967743,3.870967741935484,127.41935483870968,4.709677419354839,2017
9,24.233333333333334,33.68,28.3,73.3,19.254545454545454,5.613333333333333,3.466666666666667,135.66666666666666,4.233333333333333,2017
10,24.466666666666665,33.67666666666666,28.186666666666667,78.41935483870968,9.493333333333334,4.312903225806451,3.4838709677419355,159.67741935483872,4.290322580645161,2017
11,24.566666666666666,32.96333333333333,27.653333333333332,82.1,22.48125,3.283333333333333,4.133333333333334,200.0,4.5,2017
12,24.193548387096776,32.487096774193546,27.59032258064516,80.09677419354838,16.742857142857144,3.174193548387097,4.612903225806452,255.80645161290323,5.67741935483871,2017
